fråga;källa;år
Har en lussekatt fler eller färre kalorier än en kanelbulle per 100 gram?;fatsecret.se / kalorier.se (lussekatt ~270-300, kanelbulle ~350 kcal/100 g);2025
Har köttbullar fler eller färre kalorier än blodpudding per 100 gram?;Livsmedelsverkets livsmedelsdatabas / matkalkyl.se (köttbullar ~210, blodpudding ~200 kcal/100 g);2025
Har pyttipanna fler eller färre kalorier än Janssons frestelse per 100 gram?;matkalkyl.se / matplaneraren.se (pyttipanna ~150, Janssons ~170 kcal/100 g);2025
Har en semla fler eller färre kalorier än en dammsugare per styck?;matkalkyl.se (semla ~150 g x 298 = ~450 kcal; dammsugare 48 g x 484 = ~230 kcal per styck);2025
Har en dammsugare fler eller färre kalorier än köttbullar per 100 gram?;visa.kalorier-i.se / Livsmedelsverket (dammsugare/punschrulle ~484, köttbullar ~210 kcal/100 g);2025
Har knäckebröd fler eller färre kalorier än ostkaka per 100 gram?;iform.se / fatsecret.se (knäckebröd ~366, ostkaka färsk ~200 kcal/100 g);2025
Tar pyttipanna längre eller kortare tid att tillaga än köttbullar?;recept (köket.se/recept) - pyttipanna ~20 min, köttbullar med beredning ~35 min;2025
Kostar en burk surströmming mer eller mindre än en burk sill?;matspar.se / via.tt.se (surströmming 300 g ~80-110 kr, inlagd sill burk ~50 kr);2025
Kostar en tub Kalles kaviar mer eller mindre än en burk surströmming?;handla.ica.se / matspar.se (Kalles 300 g ~32-45 kr, surströmming 300 g ~90 kr);2025
Ger en prinsesstårta fler eller färre portioner än en ostkaka?;bakemyday.se (prinsesstårta 8-12 bitar, typisk ostkaka ~8 portioner);2025
Tar köttbullar längre eller kortare tid att tillaga än Janssons frestelse?;recept (klangmarket.se/niiinis.se) - köttbullar ~35 min, Janssons gratäng ~45-60 min;2025
Väger en lussekatt mer eller mindre än en semla?;dahls.se/wedabageri.se (lussekatt ~60 g, semla ~110-150 g);2025
Kostar kräftor mer eller mindre än sill per kilo?;bonappetit.se / test.se (importerade kräftor ~250 kr/kg, inlagd sill ~80 kr/kg);2025
Är en polkagris längre eller kortare än en kanelbulle är bred?;Livsmedelsverket produktbeskrivning Äkta Gränna Polkagrisar (längd 10-50 cm); kanelbulle ~8 cm bred;2021
Har en prinsesstårta fler eller färre kalorier än ärtsoppa per 100 gram?;personligtranare.se/ICA (prinsesstårta ~290-300, ärtsoppa ~80 kcal/100 g);2025
Har en dammsugare fler eller färre kalorier än Janssons frestelse per 100 gram?;visa.kalorier-i.se / matkalkyl.se (dammsugare ~484, Janssons ~170 kcal/100 g);2025
Tar raggmunk längre eller kortare tid att tillaga än Janssons frestelse?;recept (raggmunk ~20 min stekning, Janssons gratäng ~45-60 min);2025
Har ärtsoppa fler eller färre kalorier än knäckebröd per 100 gram?;arono.se / iform.se (ärtsoppa ~80, knäckebröd ~366 kcal/100 g);2025
Väger en semla mer eller mindre än en polkagris?;wedabageri.se / Gränna polkagris-spec (semla ~110-150 g, polkagris ~25-50 g);2025
Har en polkagris fler eller färre kalorier än en dammsugare per styck?;matkalkyl.se (polkagris ~400 kcal/100 g x 25 g = ~100 kcal; dammsugare ~230 kcal/styck);2025
Väger en semla mer eller mindre än en hel prinsesstårta?;bakemyday.se (semla ~110-150 g, prinsesstårta 12 bitar = 1200 g);2025
Väger en burk surströmming mer eller mindre än en polkagris?;dabas.com/bdfisk.se (surströmmingsburk nettovikt 300 g, polkagris ~25 g);2025
Är en köttbulle bredare eller smalare än en falukorv är lång?;menigo.se / Wikipedia falukorv (hel falukorv ~52 cm, köttbulle ~3 cm diameter);2025
Kostar en burk O'boy mer eller mindre än kräftor per kilo?;outofhome.se/foodora.se (O'boy 450 g ~45 kr, kräftor ~250 kr/kg);2025
Väger en lussekatt mer eller mindre än en hel gryta ärtsoppa?;dahls.se (lussekatt ~60 g) jämfört med portionsgryta ärtsoppa ~1200 g (~1,2 l);2025
Har en kanelbulle fler eller färre kalorier än ostkaka per 100 gram?;calzen.ai / fatsecret.se (kanelbulle ~350, ostkaka färsk ~200 kcal/100 g);2025
