fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är benspannet på en japansk spindelkrabba större eller mindre än längden på en hummer?;Japansk spindelkrabba;Hummer;3,7;0,6;meter;Hur många meter skiljer det?
Är benspannet på en kejsarskorpion större eller mindre än på en fågelspindel?;Kejsarskorpion;Fågelspindel;20;28;centimeter;Hur många centimeter skiljer det?
Är vingbredden på en pelikan större eller mindre än på en andeskondor?;Pelikan;Andeskondor;3;3,2;meter;Hur många meter skiljer det?
Är en tokaygecko längre eller kortare än en jacksonkameleont?;Tokaygecko;Jacksonkameleont;35;30;centimeter;Hur många centimeter skiljer det?
Är en herkulesbagge kortare eller längre än en jättevandrande pinne?;Herkulesbagge;Jättevandrande pinne;17;33;centimeter;Hur många centimeter skiljer det?
Väger en dingo mer eller mindre än en fennek?;Dingo;Fennek;15;1,5;kilo;Hur många kilo skiljer det?
Väger en sjöhäst mer eller mindre än en mårdhund?;Sjöhäst;Mårdhund;0,01;5;kilo;Hur många kilo skiljer det?
Väger en spetsekorre mer eller mindre än en mandrill?;Spetsekorre;Mandrill;0,1;30;kilo;Hur många kilo skiljer det?
Är en saltvattenskrokodil längre eller kortare än en blåtungad skink?;Saltvattenskrokodil;Blåtungad skink;5;0,45;meter;Hur många meter skiljer det?
Är en axolotl längre eller kortare än en komodovaran?;Axolotl;Komodovaran;25;250;centimeter;Hur många centimeter skiljer det?
Väger ett jordsvin mer eller mindre än en halsbandspekari?;Jordsvin;Halsbandspekari;65;25;kilo;Hur många kilo skiljer det?
Lever en lemur längre eller kortare än en vessla?;Lemur;Vessla;27;7;år;Hur många år skiljer det?
Är vingbredden på en marabustork större eller mindre än på en kungsörn?;Marabustork;Kungsörn;2,6;2,3;meter;Hur många meter skiljer det?
Lever en tuatara längre eller kortare än en koikarp?;Tuatara;Koikarp;100;25;år;Hur många år skiljer det?
Väger ett myrkott mer eller mindre än en tasmansk djävul?;Myrkott;Tasmansk djävul;30;8;kilo;Hur många kilo skiljer det?
Springer en halsbandspekari fortare eller långsammare än en grävling?;Halsbandspekari;Grävling;56;30;km/h;Hur många km/h skiljer det?
Har en kapucinapa längre eller kortare kropp än en mandrill?;Kapucinapa;Mandrill;45;80;centimeter;Hur många centimeter skiljer det?
Är vingspannet på en vandringsalbatross större eller mindre än på en andeskondor?;Vandringsalbatross;Andeskondor;3,5;2,8;meter;Hur många meter skiljer det?
Har en dragster högre eller lägre toppfart än en Formel 1-bil?;Dragster;Formel 1-bil;530;360;km/h;Hur många km/h skiljer toppfarten?
Har en linbanegondol högre eller lägre toppfart än en spårvagn?;Linbanegondol;Spårvagn;20;60;km/h;Hur många km/h skiljer toppfarten?
Har en cykelrickshaw högre eller lägre toppfart än en tuktuk?;Cykelrickshaw;Tuktuk;25;45;km/h;Hur många km/h skiljer toppfarten?
Väger en tuktuk mer eller mindre än en fyrhjuling?;Tuktuk;Fyrhjuling;350;300;kilo;Hur många kilo skiljer det?
Har ett maglev-tåg högre eller lägre toppfart än ett X2000-tåg?;Maglev-tåg;X2000;430;200;km/h;Hur många km/h skiljer det i toppfart?
Har en dressin högre eller lägre toppfart än en Spitfire?;Dressin;Spitfire;25;595;km/h;Hur många km/h skiljer det i toppfart?
Har en hästdroska högre eller lägre toppfart än en gokart?;Hästdroska;Gokart;15;60;km/h;Hur många km/h skiljer det i toppfart?
Har ett maglev-tåg högre eller lägre toppfart än en dressin?;Maglev-tåg;Dressin;430;25;km/h;Hur många km/h skiljer det i toppfart?
Väger en Trabant mer eller mindre än en Mini?;Trabant;Mini;620;650;kilo;Hur många kilo skiljer det?
Väger en DeLorean mer eller mindre än en Trabant?;DeLorean;Trabant;1230;620;kilo;Hur många kilo skiljer det?
Har ett Wright Flyer större eller mindre vingbredd än rymdfärjan?;Wright Flyer;Rymdfärjan;12;24;meter;Hur många meter skiljer det i vingbredd?
Är en väghyvel längre eller kortare än en golfbil?;Väghyvel;Golfbil;9;2,4;meter;Hur många meter skiljer det i längd?
Har en enskenebana högre eller lägre toppfart än ett Eurostar-tåg?;Enskenebana;Eurostar;80;300;km/h;Hur många km/h skiljer det i toppfart?
Har ett Eurostar-tåg högre eller lägre toppfart än Orient-expressen?;Eurostar;Orient-expressen;300;100;km/h;Hur många km/h skiljer det i toppfart?
Väger Mars-rovern Curiosity mer eller mindre än månbilen?;Mars-rovern Curiosity;Månbilen;900;210;kilo;Hur många kilo skiljer det?
Har en skidlift högre eller lägre toppfart än en bergbana?;Skidlift;Bergbana (funikulär);10;35;km/h;Hur många km/h skiljer det i toppfart?
Har Internationella rymdstationen ISS större eller mindre spännvidd än ett Wright Flyer?;Internationella rymdstationen ISS;Wright Flyer;109;12;meter;Hur många meter skiljer det i spännvidd?
Väger Internationella rymdstationen ISS mer eller mindre än en bulldozer?;Internationella rymdstationen ISS;Bulldozer;420;40;ton;Hur många ton skiljer det?
Är Kaspiska havet större eller mindre till ytan än Övre sjön?;Kaspiska havet;Övre sjön;374000;82680;km²;Hur många km² skiljer det?
Är ön Grönland större eller mindre till ytan än ön Borneo?;Grönland;Borneo;2166;755;tusen km²;Hur många tusen km² skiljer det?
Är Marianergraven djupare eller grundare än Puerto Rico-graven?;Marianergraven;Puerto Rico-graven;10994;8376;meter;Hur många meter skiljer det?
Är bergskedjan Anderna längre eller kortare än Klippiga bergen?;Anderna;Klippiga bergen;7000;4830;km;Hur många km skiljer det?
Är berget Aconcagua högre eller lägre än Denali?;Aconcagua;Denali;6961;6190;meter;Hur många meter skiljer det?
Är Atacamaöknen större eller mindre till ytan än Sahara?;Atacamaöknen;Sahara;0,105;9,2;miljoner km²;Hur många miljoner km² skiljer det?
Är floden Eufrat längre eller kortare än Volga?;Eufrat;Volga;2800;3530;km;Hur många km skiljer det?
Är sjön Lake Superior större eller mindre än Victoriasjön till ytan?;Lake Superior;Victoriasjön;82100;59947;km²;Hur många km² skiljer det?
Är floden Tigris längre eller kortare än Indus?;Tigris;Indus;1900;3180;km;Hur många km skiljer det?
Är floden Eufrat längre eller kortare än Lena?;Eufrat;Lena;2800;4400;km;Hur många km skiljer det?
Är berget K2 högre eller lägre än Kosciuszko?;K2;Kosciuszko;8611;2228;meter;Hur många meter skiljer det?
Är sjön Stora Björnsjön djupare eller grundare än Tanganyikasjön?;Stora Björnsjön;Tanganyikasjön;446;1470;meter;Hur många meter skiljer det?
Är Sicilien större eller mindre än Sardinien till ytan?;Sicilien;Sardinien;25,7;24;tusen km²;Hur många tusen km² skiljer det?
Är ön Java större eller mindre än Sumatra till ytan?;Java;Sumatra;129;473;tusen km²;Hur många tusen km² skiljer det?
Är ön Honshu större eller mindre än Madagaskar till ytan?;Honshu;Madagaskar;228;587;tusen km²;Hur många tusen km² skiljer det?
Är ön Sri Lanka större eller mindre än Irland till ytan?;Sri Lanka;Irland;65,6;84;tusen km²;Hur många tusen km² skiljer det?
Är strålbenet i underarmen längre eller kortare än skenbenet?;Strålbenet;Skenbenet;24;36;centimeter;Hur många centimeter skiljer det?
Är vadbenet längre eller kortare än nyckelbenet?;Vadbenet;Nyckelbenet;35;15;centimeter;Hur många centimeter skiljer det?
Är underkäken längre eller kortare än stigbygeln, kroppens minsta ben?;Underkäken;Stigbygeln;10;0,3;centimeter;Hur många centimeter skiljer det?
Lever en cell i tarmslemhinnan kortare eller längre tid än en röd blodkropp?;Tarmcell;Röd blodkropp;5;120;dygn;Hur många dygn skiljer det?
Är kroppspulsådern (aortan) grövre eller smalare än en hårfin kapillär?;Aortan;Kapillär;25;0,008;millimeter;Hur många millimeter skiljer det?
