fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är berget Aconcagua i Anderna högre eller lägre än berget Elbrus i Kaukasus?;Aconcagua;Elbrus;6962;5642;meter;Hur många meter skiljer det?
Är berget Denali i Alaska högre eller lägre än berget Elbrus i Kaukasus?;Denali;Elbrus;6190;5642;meter;Hur många meter skiljer det?
Är berget K2 högre eller lägre än Taffelberget vid Kapstaden?;K2;Taffelberget;8611;1086;meter;Hur många meter skiljer det?
Är floden Ganges längre eller kortare än Yangtzefloden i Kina?;Ganges;Yangtzefloden;2525;6300;kilometer;Hur många kilometer skiljer det?
Är Genèvesjön större eller mindre till ytan än Gardasjön i Italien?;Genèvesjön;Gardasjön;581;370;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är floden Ganges längre eller kortare än Kongofloden?;Ganges;Kongofloden;2525;4700;kilometer;Hur många kilometer skiljer det?
Är berget Matterhorn i Alperna högre eller lägre än Aconcagua i Anderna?;Matterhorn;Aconcagua;4478;6962;meter;Hur många meter skiljer det?
Är Taffelberget vid Kapstaden högre eller lägre än Mont Blanc i Alperna?;Taffelberget;Mont Blanc;1086;4808;meter;Hur många meter skiljer det?
Är vulkanen Mauna Loa på Hawaii högre eller lägre över havsytan än vulkanen Vesuvius vid Neapel?;Mauna Loa;Vesuvius;4169;1281;meter;Hur många meter skiljer det?
Är Coloradofloden längre eller kortare än Yangtzefloden i Kina?;Coloradofloden;Yangtzefloden;2330;6300;kilometer;Hur många kilometer skiljer det?
Är Tanganyikasjön i Afrika djupare eller grundare än Lake Tahoe i USA?;Tanganyikasjön;Lake Tahoe;1470;501;meter;Hur många meter skiljer det?
Är Kalahariöknen större eller mindre till ytan än Mojaveöknen i USA?;Kalahariöknen;Mojaveöknen;900000;124000;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är vulkanen Popocatépetl i Mexiko högre eller lägre än vulkanen Vesuvius vid Neapel?;Popocatépetl;Vesuvius;5393;1281;meter;Hur många meter skiljer det?
Är Yukonfloden i Alaska längre eller kortare än floden Mekong?;Yukonfloden;Mekong;3190;4909;kilometer;Hur många kilometer skiljer det?
Är Loch Ness i Skottland större eller mindre till ytan än Genèvesjön?;Loch Ness;Genèvesjön;56;581;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är Gardasjön i Italien större eller mindre till ytan än Tanganyikasjön i Afrika?;Gardasjön;Tanganyikasjön;370;32900;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är Angelfallen i Venezuela högre eller lägre än Iguazúfallen i Sydamerika?;Angelfallen;Iguazúfallen;979;82;meter;Hur många meter skiljer det?
Är Kalahariöknen större eller mindre till ytan än Namiböknen i Afrika?;Kalahariöknen;Namiböknen;900000;80950;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är Niagarafallen högre eller lägre än Angelfallen i Venezuela?;Niagarafallen;Angelfallen;51;979;meter;Hur många meter skiljer det?
Är Ladogasjön i Ryssland större eller mindre till ytan än Genèvesjön?;Ladogasjön;Genèvesjön;17700;581;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är Namiböknen i Afrika större eller mindre till ytan än Mojaveöknen i USA?;Namiböknen;Mojaveöknen;80950;124000;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är Ladogasjön i Ryssland större eller mindre till ytan än Tanganyikasjön i Afrika?;Ladogasjön;Tanganyikasjön;17700;32900;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är vulkanen Cotopaxi i Ecuador högre eller lägre än vulkanen Mauna Loa på Hawaii?;Cotopaxi;Mauna Loa;5897;4169;meter;Hur många meter skiljer det?
