Abarth	77
AbbVie	13
Accor	59
Addtech	25
Afterpay	12
Air France	93
Airbus	56
Airtable	14
Airtel	31
Alfa Romeo	116
Algolia	14
Alimak	78
Allstate	95
Amplitude	14
ANZ	191
Aprilia	81
Arc'teryx	37
Aritco	31
Arjo	69
Assa Abloy	32
Aston Martin	113
AT&T	141
Atari	54
Audemars Piguet	151
Audible	31
Auth0	13
Babbel	19
Bactiguard	21
Balder	21
Bandai	76
Bandcamp	18
Basecamp	27
BBVA	169
Beijer Alma	43
Bilia	97
Billabong	53
Billerud	143
Bing	17
BioGaia	36
Biotage	29
Bissell	150
Bitbucket	18
Blizzard	35
Bluehost	23
BNP Paribas	178
Bolt	13
Bonava	10
BP	117
Brave	10
Bravida	104
Braze	15
Breitling	142
Breville	94
Brooks	112
Bufab	49
Buick	127
Bungie	35
Bvlgari	142
Calendly	13
Calliditas	22
Canva	13
Capio	32
CD Projekt	32
CellaVision	32
Chime	14
Chopard	166
Chrysler	101
Cibes Lift	79
Citroën	107
ClickUp	9
Cloudera	18
Cloudinary	14
Concentric	15
Contentful	13
Corem Property	19
Craftsman	99
Creades	15
Cuisinart	55
Cupra	8
Dacia	60
Dailymotion	21
DC Shoes	32
DeepL	9
Deliveroo	13
De'Longhi	124
Delta Air Lines	101
Discogs	26
D-Link	40
Dodge	126
DoorDash	13
DuckDuckGo	18
Duolingo	15
E*Trade	34
edX	14
Einride	10
Epic Games	35
Etihad Airways	23
Evernote	18
ExpressVPN	17
ExxonMobil	27
Fiat	127
Fila	115
Fingerprint Cards	29
Finnair	103
Firefox	22
Fiverr	16
Foodpanda	14
Framer	12
Freightliner	84
FromSoftware	40
Frontier Airlines	32
Gap	57
Genesis	11
Genius	17
GitHub	18
GitLab	15
GMC	115
GoDaddy	29
Gojek	16
Goodreads	19
Grab	14
Grafana	12
Grammarly	17
Gränges	130
Gränsfors Bruk	124
Grubhub	22
Gymshark	14
Haldex	139
Hamilton	134
Handelsbanken	155
Hansa Biopharma	19
Harley-Davidson	123
HashiCorp	14
Headspace	16
Heimstaden	28
Hilleberg	55
HiQ	31
Hoka	17
Hoover	118
HostGator	24
Hufvudstaden	111
Hugging Face	10
Humble Group	17
IAR Systems	43
Image Systems	43
Indexator	53
Indian Motorcycle	125
Inet	26
Infiniti	37
ING	35
Inission	53
Intercom	15
Intrum	103
Investor AB	110
Inwido	22
Isuzu	110
Jaeger-LeCoultre	193
Japan Airlines	75
JetBlue	27
JetBrains	26
JPMorgan	155
Just Eat	25
Karo Pharma	39
Kawasaki	130
Kayak	22
Keurig	34
Keysight	12
Khan Academy	18
Kindred Group	29
Kinnevik	90
KitchenAid	107
KLM	107
Kodak	138
KPN	145
KTM	92
Kuehne+Nagel	136
Lammhults	81
Lancia	120
Larian Studios	30
LastPass	18
Le Coq Sportif	144
Lee	137
Lendo	19
Letterboxd	15
Lime Technologies	36
Lonely Planet	53
Longines	194
Loom	11
Lucid Motors	19
Lundbergföretagen	82
LyondellBasell	19
MasterClass	11
Maytag	133
Mazda	106
Medium	14
Medivir	38
Mentimeter	12
MG	102
Mini	67
Miro	15
Mixpanel	17
Montblanc	120
Morakniv	135
Morgan Stanley	91
Moto Guzzi	105
MV Agusta	81
Mycronic	37
MyFitnessPal	21
N26	13
Namecheap	26
NCAB	33
Nespresso	40
NetEase	29
Netlify	12
New Balance	120
New Relic	18
Niantic	16
Nobina	36
NordVPN	14
Note	27
Novartis	30
Nubank	13
O2	24
Omega	178
Oncopeptides	26
Oneflow	14
OnePlus	13
Opel	164
Opera	31
Orexo	31
OX2	22
PagerDuty	17
Pandox	31
Panerai	166
Patek Philippe	187
Peloton	14
Peugeot	130
Phillips 66	109
Piaget	152
Piaggio	142
Pinterest	16
PlanetScale	8
Plejd	17
Primus	134
Probi	35
Procreate	15
Progressive	89
Qantas	106
Quiksilver	57
Quora	17
Ralph Lauren	59
Ratos	92
RBC	162
Readly	14
Realme	8
Rejlers	84
Renault	127
Resurs Bank	25
Retool	9
Ring	13
Rip Curl	57
Robinhood	13
Rockstar Games	28
Rogers	66
Rolex	121
Rolls-Royce	120
Royal Enfield	125
Ryobi	83
Saucony	128
SEAT	76
SEB	170
Sedana Medical	21
SendGrid	17
Serneke	24
Setra Group	23
Shazam	27
Shiseido	154
Signal	12
SiteGround	22
Skandia	171
Sketch	16
Skillshare	16
Skoda	131
Skype	23
Skyscanner	23
Smart	32
Sobi	25
SoFi	15
Spendrups	129
SPP	109
Squarespace	23
Stack Overflow	18
State Farm	104
Stiga	92
Strapi	11
Strava	17
Substack	9
Supercell	16
Surgical Science	27
Swarovski	131
Swedish Match	111
Swisscom	28
TAG Heuer	166
Take-Two	33
TD Bank	71
Tefal	70
Telegram	13
Thai Airways	66
The North Face	60
Thyssenkrupp	27
Tidal	12
Tiffany & Co	189
Tink	14
Tissot	173
Todoist	19
TotalEnergies	102
TP-Link	30
Trading 212	22
Trello	15
Triumph	124
Trivago	21
Troax	71
Trustly	18
Trygg-Hansa	198
Tudor	100
Twitch	15
U.S. Bank	163
Ubiquiti	23
Udemy	16
Umbro	102
Under Armour	30
Unity	22
Urban Outfitters	56
Vacheron Constantin	271
Valve	30
Van Cleef & Arpels	130
Vasakronan	33
VBG Group	75
Venmo	17
Vimeo	22
Vitrolife	32
Vivo	17
Vizio	24
Volati	23
Volcom	35
Volvo Penta	119
Vueling	22
WeTransfer	17
Wolt	12
Xfinity	16
Xiaomi	16
Xvivo	28
Zapier	15
Zynga	19
