fråga;källa;år
Är en Saturn V-raket längre eller kortare än ett passagerarflygplan?;NASA "What Was the Saturn V?" (111 m hög); Boeing 747-100 ~70,7 m lång (Wikipedia);2024
Är en fotbollsplan längre eller kortare än Rymdstationen ISS?;NASA ISS Facts and Figures (109 m end-to-end); fotbollsplan ~105 m;2024
Väger James Webb-teleskopet mer eller mindre än Hubbleteleskopet?;ESA Webb factsheet (Webb ~6 200 kg startmassa); NASA Hubble ~12 200 kg nuvarande massa;2024
Väger ett barn mer eller mindre än en rymddräkt?;NASA EMU-rymddräkt ~127 kg på jorden (NASA EMU factsheet); barn ~7 år ~25 kg;2024
Springer en galopperande häst snabbare eller långsammare än en månbil?;NASA Lunar Roving Vehicle topphastighet 18 km/h (Apollo 17); häst i galopp ~55 km/h;2024
Flyger en rymdraket snabbare eller långsammare än en meteorit?;NASA banhastighet ~28 000 km/h; meteor i atmosfären ~150 000 km/h (American Meteor Society);2024
Väger en Saturn V-raket mer eller mindre än en blåval?;NASA/Wikipedia Saturn V ~2 800 ton fulltankad; blåval upp till ~150 ton;2024
Är en skoldag längre eller kortare än den längsta rymdpromenaden?;Längsta rymdpromenad 9 tim 6 min (Cai Xuzhe/Song Lingdong, 17 dec 2024, Wikipedia); skoldag ~6 tim;2024
Tar Halleys komet längre eller kortare tid på ett varv runt solen än ett år på jorden?;NASA 1P/Halley (~76 års omloppstid); jorden 1 år;2024
Är avståndet från jorden till månen längre eller kortare än från jorden till solen?;NASA/RMG jorden–månen ~384 400 km; jorden–solen ~150 milj km (1 AU);2024
Finns det fler eller färre satelliter runt jorden än stjärnor man kan se med blotta ögat? (2024);CEOWORLD/UCS ~13 000 aktiva satelliter (jul 2024); ~4 500 stjärnor synliga med blotta ögat (EarthSky);2024
Tar en resa till Mars längre eller kortare tid än Apollos resa till månen?;NASA resa till Mars ~200 dygn (kemisk raket); Apollo 11 ~4 dygn till månen;2024
Är en Saturn V-raket längre eller kortare än en rymdfärja?;NASA Saturn V 111 m; Space Shuttle-stacken ~56 m (Space.com/NASA);2024
