fråga;källa;år
Är tornet på Stockholms stadshus högre eller lägre än Riddarholmskyrkans spira?;Stockholms stad/stadshuset.stockholm (stadshustornet 106 m) + Statens fastighetsverk/Wikipedia Riddarholmskyrkan (90,8 m till korsets topp);2026
Patenterades skiftnyckeln före eller efter dynamiten?;Tekniska museet/PRV (J.P. Johansson skiftnyckel patent 1892) + NobelPrize.org (Alfred Nobel dynamit patent 1867);2026
Är Öresundsbron längre eller kortare än Ölandsbron?;Wikipedia Öresundsförbindelsen (7845 m) + Wikipedia Ölandsbron (6072 m);2026
Är Uppsala domkyrka högre eller lägre än Lunds domkyrka?;Svenska kyrkan Uppsala domkyrka (118,7 m) + Wikipedia Lunds domkyrka (55 m);2026
Är Höga Kusten-bron längre eller kortare än Älvsborgsbron i Göteborg?;Wikipedia Högakustenbron (1867 m) + Nationalencyklopedin Älvsborgsbron (933 m);2026
Är Göta kanal längre eller kortare än Dalslands kanal?;gotakanal.se Göta kanal (190 km) + Wikipedia Dalslands kanal (254 km);2026
Är Tjörnbron längre eller kortare än Älvsborgsbron i Göteborg?;Wikipedia Tjörnbron (664 m) + Nationalencyklopedin Älvsborgsbron (933 m);2026
Är Lunds domkyrka högre eller lägre än Riddarholmskyrkan i Stockholm?;Wikipedia Lunds domkyrka (55 m) + Statens fastighetsverk Riddarholmskyrkan (90,8 m);2026
Är Ölandsbron längre eller kortare än Älvsborgsbron i Göteborg?;Wikipedia Ölandsbron (6072 m) + Nationalencyklopedin Älvsborgsbron (933 m);2026
Är Tjörnbron längre eller kortare än Höga Kusten-bron?;Wikipedia Tjörnbron (664 m) + Wikipedia Högakustenbron (1867 m);2026
Är Karlatornet i Göteborg högre eller lägre än Lunds domkyrka?;Balder/goteborg.com Karlatornet (246 m) + Wikipedia Lunds domkyrka (55 m);2026
Är Riddarholmskyrkan i Stockholm högre eller lägre än Karlatornet i Göteborg?;Statens fastighetsverk Riddarholmskyrkan (90,8 m) + Balder/goteborg.com Karlatornet (246 m);2026
Har Stockholms slott fler eller färre rum än Läckö slott?;Wikipedia Stockholms slott (1430 rum) + Wikipedia/Visit Lidköping Läckö slott (ca 248 rum);2026
Är Göta kanal längre eller kortare än Tjörnbron?;gotakanal.se Göta kanal (190 km) + Wikipedia Tjörnbron (664 m = 0,664 km);2026
Är E4-bron över Höga Kusten längre eller kortare än Sundsvallsbron?;hogakusten.com/Wikipedia Högakustenbron (total längd 1867 m) + Wikipedia E4 Sundsvallsbron (total längd inkl. anslutningar 2109 m, invigd 2014);2026
Är Eriksbergskranen i Göteborg högre eller lägre än kontorstornet Läppstiftet (Lilla Bommen)?;Wikipedia Eriksbergs bockkran (själva kranen 80 m hög; 84 m över havet) + Wikipedia Lilla Bommen/Läppstiftet (86 m, 22 vån.);2026
Är kontorstornet Läppstiftet (Lilla Bommen) i Göteborg högre eller lägre än Kaknästornet i Stockholm?;Wikipedia Lilla Bommen/Läppstiftet (86 m) + Wikipedia Kaknästornet (arkitektonisk höjd 155 m; 170 m inkl. mast);2026
Tar arenan Tele2 Arena fler eller färre åskådare än Friends Arena vid en konsert?;Wikipedia Tele2 Arena (konsertkapacitet ca 45000; fotboll ca 30000) + Wikipedia Friends Arena (konsertkapacitet ca 65000);2026
Tar arenan Tele2 Arena fler eller färre åskådare än Ullevi i Göteborg?;Wikipedia Tele2 Arena (fotboll ca 30000) + Wikipedia/goteborg.com Ullevi (sittplatskapacitet ca 43000; konsert upp till 75000);2026
Började bygget av Kalmar slott före eller efter Gripsholms slott?;Wikipedia/SFV Kalmar slott (försvarstorn uppfört i slutet av 1100-talet, ca 1180) + Wikipedia/kungahuset Gripsholms slott (uppfört från 1537 under Gustav Vasa);2026
Tar arenan Scandinavium i Göteborg fler eller färre åskådare än Friends Arena?;Wikipedia/goteborg.com Scandinavium (ca 12000 vid sport; upp till 14000 vid konsert) + Wikipedia Friends Arena (konsert ca 65000);2026
Är berg-och-dalbanan Insane på Gröna Lund högre eller lägre än Lisebergstornet i Göteborg?;Wikipedia/rcdb Insane Gröna Lund (höjd ca 32 m) + Wikipedia/liseberg.se Lisebergstornet (tornhöjd 116 m);2026
Är berg-och-dalbanan Helix på Liseberg högre eller lägre än Kaknästornet i Stockholm?;Wikipedia/rcdb Helix Liseberg (höjd 41 m) + Wikipedia Kaknästornet (arkitektonisk höjd 155 m);2026
Är trärullbanan Balder på Liseberg högre eller lägre än Karlatornet i Göteborg?;liseberg.se/rcdb Balder (höjd 118 ft ≈ 36 m) + Wikipedia/goteborg.com Karlatornet (246 m, Nordens högsta byggnad);2026
Tar teaterscenen Dramatens stora scen fler eller färre åskådare än arenan Scandinavium?;dramaten.se Stora scenen (plats för 770 åskådare) + Wikipedia/goteborg.com Scandinavium (ca 12000 vid sport);2026
Tar Cirkus på Djurgården i Stockholm fler eller färre åskådare än Ullevi i Göteborg?;cirkus.se/Wikipedia Cirkus (plats för ca 1650 sittande) + Wikipedia/goteborg.com Ullevi (sittplatskapacitet ca 43000);2026
Är berg-och-dalbanan Helix på Liseberg högre eller lägre än trärullbanan Balder?;Wikipedia/rcdb Helix Liseberg (höjd 41 m) + liseberg.se/rcdb Balder (höjd ca 36 m);2026
Är fritt fall-tornet på Lisebergstornet högre eller lägre än fritt fall-attraktionen Valkyria på Liseberg?;liseberg.se/Wikipedia AtmosFear på Lisebergstornet (fallhöjd ca 90 m) + liseberg.se Valkyria dive coaster (vertikalt fall 50 m);2026
Tar arenan Ullevi i Göteborg fler eller färre åskådare än Scandinavium?;Wikipedia/goteborg.com Ullevi (sittplatskapacitet ca 43000) + Wikipedia/goteborg.com Scandinavium (ca 12000 vid sport);2026
Tar Friends Arena fler eller färre åskådare än arenan Scandinavium i Göteborg?;Wikipedia Friends Arena (konsert ca 65000) + Wikipedia/goteborg.com Scandinavium (ca 12000 vid sport);2026
Är tornet på Stockholms stadshus högre eller lägre än kontorstornet Läppstiftet (Lilla Bommen) i Göteborg?;stadshuset.stockholm (stadshustornet 106 m) + Wikipedia Lilla Bommen/Läppstiftet (86 m);2026
Är E4-bron över Höga Kusten längre eller kortare än Tjörnbron?;hogakusten.com/Wikipedia Högakustenbron (total längd 1867 m) + Wikipedia Tjörnbron (664 m);2026
Är Sundsvallsbron längre eller kortare än Älvsborgsbron i Göteborg?;Wikipedia E4 Sundsvallsbron (total längd inkl. anslutningar 2109 m) + Nationalencyklopedin Älvsborgsbron (933 m);2026
