fråga;källa;år
Väger en blåval mer eller mindre än en afrikansk elefant?;https://www.sciencefocus.com/nature/largest-animal-in-the-world;2024
Väger en flodhäst mer eller mindre än en giraff?;https://en.wikipedia.org/wiki/Hippopotamus;2024
Väger en isbjörn mer eller mindre än en flodhäst?;https://en.wikipedia.org/wiki/Polar_bear;2024
Väger en rödräv mer eller mindre än en grävling?;https://mammal.org.uk/british-mammals/red-fox;2024
Väger en huskatt mer eller mindre än en rödräv?;https://www.wildlifeonline.me.uk/animals/article/red-fox-size;2024
Är en gepard snabbare eller långsammare än en pilgrimsfalk i störtdykning?;https://www.livescience.com/59822-fastest-animals.html;2024
Springer en gaffelbock fortare eller långsammare än en gepard?;https://www.sciencedaily.com/releases/2012/07/120728151024.htm;2012
Väger en blåvals tunga mer eller mindre än en människa?;https://www.guinnessworldrecords.com/world-records/83817-heaviest-tongue;2024
Springer en greyhound fortare eller långsammare än en gaffelbock?;https://www.sciencedaily.com/releases/2012/07/120728151024.htm;2012
Lever en galapagossköldpadda längre eller kortare än en grönlandshaj?;https://www.livescience.com/longest-living-animals.html;2024
Lever en elefant längre eller kortare än en grönlandsval?;https://www.livescience.com/longest-living-animals.html;2024
Lever en hund längre eller kortare än en huskatt?;https://www.guinnessworldrecords.com/news/2021/10/worlds-oldest-animals-cats-dogs-deep-sea-creatures-and-more-678003;2021
Lever en galapagossköldpadda längre eller kortare än en grönlandsval?;https://www.livescience.com/longest-living-animals.html;2024
Är dräktighetstiden för en giraff längre eller kortare än för en afrikansk elefant?;https://www.nationalgeographic.com/animals/article/mammals-have-extremely-diverse-pregnancies-heres-why;2024
Är dräktighetstiden för en människa längre eller kortare än för en hund?;https://open.lib.umn.edu/humanbiology2e/chapter/5-5-human-pregnancy-and-birth;2024
Väger ett strutsägg mer eller mindre än ett hönsägg?;https://en.wikipedia.org/wiki/Ostrich_egg;2024
Är dräktighetstiden för en mus längre eller kortare än för en människa?;https://www.wla.org/assets/Book_Award/WCCPBA/2019%20Mammal%20Gestation%20Periods.pdf;2019
Är en valhaj längre eller kortare än en saltvattenskrokodil?;https://marinemegafauna.org/guide-to-whale-sharks/size;2024
Är en valhaj längre eller kortare än en vithaj?;https://marinemegafauna.org/guide-to-whale-sharks/size;2024
Är en vithaj längre eller kortare än en saltvattenskrokodil?;https://en.wikipedia.org/wiki/Great_white_shark_size;2024
Har en vandringsalbatross större eller mindre vingspann än en andinsk kondor?;https://factanimal.com/animal-facts/largest-flying-birds-in-the-world/;2024
Har en kungsörn större eller mindre vingspann än en vandringsalbatross?;https://factanimal.com/animal-facts/largest-flying-birds-in-the-world/;2024
Väger ett emuägg mer eller mindre än ett strutsägg?;https://en.wikipedia.org/wiki/Ostrich_egg;2024
Väger en giraff mer eller mindre än en isbjörn?;https://sizegraf.com/blog/list-of-animals-by-size-and-weight/;2024
Springer en gepard fortare eller långsammare än en greyhound?;https://www.sciencedaily.com/releases/2012/07/120728151024.htm;2012
Lever en grönlandshaj längre eller kortare än en grönlandsval?;https://www.livescience.com/longest-living-animals.html;2024
Är en blåval längre eller kortare än en valhaj?;https://www.sciencefocus.com/nature/largest-animal-in-the-world;2024
