fråga;källa;år
Väger en vindruva mer eller mindre än en apelsin?;FoodData Central (USDA) / Livsmedelsverket (vindruva ~6 g, medelapelsin ~140 g);2024
Väger en köttbulle mer eller mindre än en hamburgare?;Livsmedelsverket / receptdatabas (köttbulle ~20 g, hamburgare ~140 g);2024
Väger en ostbit mer eller mindre än en smörgås?;Arla/ICA varuvikter;2024
Väger ett ägg mer eller mindre än en potatis?;Livsmedelsverket (ägg M ~60 g, potatis ~100 g);2024
Väger en morot mer eller mindre än en banan?;Livsmedelsverket / FoodData Central (USDA);2024
Väger en jordgubbe mer eller mindre än ett äpple?;FoodData Central (USDA) / Livsmedelsverket;2024
Väger ett glas mjölk mer eller mindre än en flaska läsk?;Standardförpackning (glas 2 dl / flaska 50 cl);2024
Väger en kula glass mer eller mindre än en kanelbulle?;Livsmedelsverket / bageristandard;2024
Väger en skål popcorn mer eller mindre än en godispåse?;Tillverkarförpackning (popcornportion / godispåse);2024
Väger ett Mariekex mer eller mindre än en chokladkaka?;Göteborgs Kex / Marabou förpackningsvikter;2024
Väger en bit lösgodis mer eller mindre än en glasspinne?;Cloetta/Malaco / GB Glace förpackningsvikter;2024
Har en pannkaka fler eller färre kalorier än en hamburgare?;Livsmedelsverket / kalorier.se;2024
Har en smörgås fler eller färre kalorier än en kanelbulle?;Livsmedelsverket / matkalkylen.se;2024
Har en burk läsk fler eller färre kalorier än en glasstrut?;Coca-Cola / GB Glace näringsvärden;2024
Har en morot fler eller färre kalorier än ett äpple?;Livsmedelsverket;2024
Har en apelsin fler eller färre kalorier än en pizzabit?;Livsmedelsverket / kostmanualen.se;2024
Har en vindruva fler eller färre kalorier än en banan?;Livsmedelsverket;2024
Har en jordgubbe fler eller färre kalorier än en chokladkaka?;Livsmedelsverket / Marabou näringsvärden;2024
Har en potatis fler eller färre kalorier än en pizzabit?;Livsmedelsverket / kostmanualen.se;2024
Väger en hel pizza mer eller mindre än en kula glass?;Pizzeriastandard (~350 g) / GB Glace;2024
Väger en godispåse mer eller mindre än en ostbit?;Cloetta/Malaco / Arla förpackningsvikter;2024
Väger en köttbulle mer eller mindre än ett Mariekex?;Livsmedelsverket / Dafgårds (köttbulle ~14-20 g) / Göteborgs Kex (Mariekex ~6 g);2024
Har ett glas mjölk fler eller färre kalorier än en pannkaka?;Arla / Livsmedelsverket;2024
Har en skål popcorn fler eller färre kalorier än ett ägg?;Livsmedelsverket;2024
Har en korv med bröd fler eller färre kalorier än en glasstrut?;Livsmedelsverket / GB Glace;2024
Väger en korv med bröd mer eller mindre än en sockerbit?;Livsmedelsverket / Dansukker;2024
Väger en glasspinne mer eller mindre än en sockerbit?;GB Glace / Dansukker förpackningsvikter;2024
