fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Vilket märke har störst börsvärde? (2024);Investor AB;Atlas Copco;857;800;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Telia;Saab;115;120;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);SEB;Swedbank;294;234;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Ericsson;H&M;276;228;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Atlas Copco;Volvo;800;521;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Nordea;SEB;399;294;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);EQT;Sandvik;349;239;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);AstraZeneca;Nike;2138;1194;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);AstraZeneca;Spotify;2138;968;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Investor AB;Nordea;857;399;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Investor AB;Volvo;857;521;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Atlas Copco;Ericsson;800;276;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Spotify;H&M;968;228;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);AstraZeneca;Sandvik;2138;239;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Apple;Investor AB;39543;857;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Nvidia;Atlas Copco;34524;800;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Essity;Spotify;197;968;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Volvo;Coca-Cola;521;2825;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Spotify;Netflix;968;4073;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Volvo;Toyota;521;2782;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);H&M;Ferrari;228;812;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);SKF;EQT;91;349;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Essity;Atlas Copco;197;800;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Sandvik;Investor AB;239;857;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Boliden;EQT;82;349;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Hexagon;Spotify;272;968;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Saab;Microsoft;120;33600;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);SKF;Amazon;91;24696;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Ericsson;Tesla;276;14543;miljarder kr;Hur många miljarder kronor skiljer det?
