fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Vilket märke har flest anställda?;Atlas Copco;Assa Abloy;55267;63000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Sandvik;Electrolux;41447;41000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Volvo;Ericsson;101595;94236;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Atlas Copco;SKF;55267;38743;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Electrolux;ICA;41000;27000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;H&M;Assa Abloy;96457;63000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;IKEA;Volvo;216000;101595;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Securitas;Nestlé;333869;259871;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Adidas;Sandvik;62035;41447;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Skanska;Essity;26000;36000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Swedbank;Nordea;18568;30157;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Telia;Nordea;16859;30157;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Axfood;Nordea;15620;30157;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;NCC;Skanska;11800;26000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Securitas;H&M;333869;96457;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Handelsbanken;Swedbank;12644;18568;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Axfood;Clas Ohlson;15620;5000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Dustin;Clas Ohlson;2045;5000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Klarna;Mojang;3422;921;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Scania;Nestlé;59000;259871;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;IKEA;Atlas Copco;216000;55267;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Ericsson;Nestlé;94236;259871;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Volvo;Essity;101595;36000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Spotify;Tetra Pak;7261;24546;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;SEB;Boliden;17851;6000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Mojang;IKEA;921;216000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Securitas;Klarna;333869;3422;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Dustin;Volkswagen;2045;679472;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Spotify;Securitas;7261;333869;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Boliden;Volkswagen;6000;679472;anställda;Hur många anställda skiljer det?
