fråga;källa;år
Har en mops högre eller lägre andel höftledsdysplasi än en whippet?;OFA Hip Dysplasia Statistics by Breed (ofa.org/diseases/disease-statistics): Mops 71,7 %, Whippet 1,4 %;OFA-databas (utvärderingar 1974–2024), hämtad 2026
Har en sibirisk husky högre eller lägre andel höftledsdysplasi än en engelsk bulldogg?;OFA Hip Dysplasia Statistics by Breed (ofa.org): Engelsk bulldogg 70,1 %, Sibirisk husky 2,0 %;OFA-databas (utvärderingar 1974–2024), hämtad 2026
Har en flatcoated retriever högre eller lägre andel höftledsdysplasi än en clumber spaniel?;OFA Hip Dysplasia Statistics by Breed (ofa.org): Clumber spaniel 44,8 %, Flatcoated retriever ~3 %;OFA-databas (utvärderingar 1974–2024), hämtad 2026
Har en otterhound högre eller lägre andel höftledsdysplasi än en standardpudel?;OFA Hip Dysplasia Statistics by Breed (ofa.org): Otterhound 47,2 %, Standardpudel 12,2 %;OFA-databas (utvärderingar 1974–2024), hämtad 2026
Har en samojed högre eller lägre andel höftledsdysplasi än en mastino napoletano?;OFA Hip Dysplasia Statistics by Breed (ofa.org): Mastino napoletano 47 %, Samojed 11,1 %;OFA-databas (utvärderingar 1974–2024), hämtad 2026
Har en basset hound högre eller lägre andel höftledsdysplasi än en mellanschnauzer?;OFA Hip Dysplasia Statistics by Breed (ofa.org): Basset hound 37,4 %, Mellanschnauzer (Standard Schnauzer) 8,6 %;OFA-databas (utvärderingar 1974–2024), hämtad 2026
Har en newfoundlandshund högre eller lägre andel höftledsdysplasi än en mops?;OFA Hip Dysplasia Statistics by Breed (ofa.org): Mops 71,7 %, Newfoundlandshund 25,2 %;OFA-databas (utvärderingar 1974–2024), hämtad 2026
Har en clumber spaniel högre eller lägre andel höftledsdysplasi än en mastino napoletano?;OFA Hip Dysplasia Statistics by Breed (ofa.org): Mastino napoletano 47 %, Clumber spaniel 44,8 %;OFA-databas (utvärderingar 1974–2024), hämtad 2026
Har en mastino napoletano högre eller lägre andel höftledsdysplasi än en newfoundlandshund?;OFA Hip Dysplasia Statistics by Breed (ofa.org): Mastino napoletano 47 %, Newfoundlandshund 25,2 %;OFA-databas (utvärderingar 1974–2024), hämtad 2026
Har en otterhound högre eller lägre andel höftledsdysplasi än en basset hound?;OFA Hip Dysplasia Statistics by Breed (ofa.org): Otterhound 47,2 %, Basset hound 37,4 %;OFA-databas (utvärderingar 1974–2024), hämtad 2026
Har en mellanschnauzer högre eller lägre andel höftledsdysplasi än en samojed?;OFA Hip Dysplasia Statistics by Breed (ofa.org): Samojed 11,1 %, Mellanschnauzer (Standard Schnauzer) 8,6 %;OFA-databas (utvärderingar 1974–2024), hämtad 2026
Har en grand danois högre eller lägre andel höftledsdysplasi än en mellanschnauzer?;OFA Hip Dysplasia Statistics by Breed (ofa.org): Grand danois 12 %, Mellanschnauzer (Standard Schnauzer) 8,6 %;OFA-databas (utvärderingar 1974–2024), hämtad 2026
Har en engelsk bulldogg högre eller lägre andel höftledsdysplasi än en mops?;OFA Hip Dysplasia Statistics by Breed (ofa.org): Mops 71,7 %, Engelsk bulldogg 70,1 %;OFA-databas (utvärderingar 1974–2024), hämtad 2026
Har en standardpudel högre eller lägre andel höftledsdysplasi än en samojed?;OFA Hip Dysplasia Statistics by Breed (ofa.org): Standardpudel 12,2 %, Samojed 11,1 %;OFA-databas (utvärderingar 1974–2024), hämtad 2026
Har en flatcoated retriever högre eller lägre andel höftledsdysplasi än en sibirisk husky?;OFA Hip Dysplasia Statistics by Breed (ofa.org): Flatcoated retriever ~3 %, Sibirisk husky 2,0 %;OFA-databas (utvärderingar 1974–2024), hämtad 2026
