fråga;källa;år
Väger en Skoda Enyaq 85 mer eller mindre än en Toyota bZ4X?;EV Database / cars-data (Enyaq 85 ~2123 kg, bZ4X FWD ~1995 kg);2024
Väger en Lexus RZ 450e mer eller mindre än en Genesis GV60?;EVspecs / Genesis specs / autopadre (RZ 450e ~2000 kg, GV60 ~2160 kg) — riktning rättad, GV60 tyngre;2024
Väger en Volvo EX30 Single Motor mer eller mindre än en Cadillac Lyriq?;Volvo / GM specs (EX30 SM ~1830 kg, Lyriq ~2577 kg);2024
Väger en Renault Mégane E-Tech mer eller mindre än en Fiat 500e?;Renault user-manual / cars-data (Mégane E-Tech tjänstevikt ~1711 kg, 500e ~1290 kg);2024
Väger en Dacia Spring mer eller mindre än en Citroën ë-C3?;Dacia / Citroën specs (Spring ~1045 kg, ë-C3 ~1450 kg);2024
Väger en Polestar 2 Long Range Single Motor mer eller mindre än en MG4?;EV Database (Polestar 2 LR SM ~2113 kg, MG4 ~1635 kg);2024
Väger en BMW iX xDrive50 mer eller mindre än en Nissan Leaf?;BMW / Nissan specs (iX xDrive50 ~2510 kg, Leaf ~1580 kg);2024
Väger en Hyundai Inster mer eller mindre än en Cupra Born?;Hyundai / Cupra specs (Inster ~1300 kg, Born ~1862 kg);2024
Väger en Mercedes-Benz EQS SUV 450 mer eller mindre än en Cupra Born?;Mercedes / Cupra specs (EQS SUV 450 ~2890 kg, Born ~1862 kg);2024
Väger en Smart #1 mer eller mindre än en Nio ET7?;Smart / Nio specs (Smart #1 ~1788 kg, ET7 ~2365 kg);2024
Väger en Kia EV9 mer eller mindre än en Microlino?;Kia / Microlino specs (EV9 ~2620 kg, Microlino ~535 kg);2024
Väger en Lucid Air Grand Touring mer eller mindre än en Nissan Leaf?;Lucid / Nissan specs (Air GT ~2360 kg, Leaf ~1580 kg);2024
Väger en Kia EV6 Long Range mer eller mindre än en Peugeot e-208?;Kia / Peugeot specs (EV6 LR ~2015 kg, e-208 ~1455 kg);2024
Väger en Peugeot e-208 mer eller mindre än en Subaru Solterra?;Peugeot / Subaru specs (e-208 ~1455 kg, Solterra ~2020 kg);2024
Väger en Volvo EX90 mer eller mindre än en Citroën Ami?;Volvo / Citroën specs (EX90 ~2670 kg, Ami ~471 kg);2024
Väger en Dacia Spring mer eller mindre än en Rivian R1T?;Dacia / Rivian specs (Spring ~1045 kg, R1T ~3175 kg);2024
Väger en Microlino mer eller mindre än en Volvo EX90?;Microlino / Volvo specs (Microlino ~535 kg, EX90 ~2670 kg);2024
Väger en Citroën Ami mer eller mindre än en Smart #1?;Citroën / Smart specs (Ami ~471 kg, Smart #1 ~1788 kg);2024
Väger en Renault Twizy mer eller mindre än en Hyundai Ioniq 5?;Renault / Hyundai specs (Twizy ~474 kg, Ioniq 5 ~2020 kg);2024
Väger en Microlino mer eller mindre än en Mercedes-Benz EQS SUV 450?;Microlino / Mercedes specs (Microlino ~535 kg, EQS SUV 450 ~2890 kg);2024
Väger en Citroën Ami mer eller mindre än en GMC Hummer EV?;Citroën / GMC specs (Ami ~471 kg, Hummer EV ~4100 kg);2024
Väger en Renault Twizy mer eller mindre än en GMC Hummer EV?;Renault / GMC specs (Twizy ~474 kg, Hummer EV ~4100 kg);2024
