fråga;källa;år
Var rekordträdet Hyperion (en kustsekvoja) högre eller lägre än den fällda jättedouglasgranen Mineral Tree?;https://en.wikipedia.org/wiki/Hyperion_(tree) ; https://www.historylink.org/file/23164;2026
Är tallen Methuselah äldre eller yngre än den äldsta kända bristleconetallen?;https://www.conservation.org/news/methuselah-still-the-worlds-oldest-tree;2024
Är Tugelafallen i Sydafrika högre eller lägre än Angelfallen i Venezuela?;https://en.wikipedia.org/wiki/Tugela_Falls ; https://en.wikipedia.org/wiki/Angel_Falls;2016
Är Bajkalsjön djupare eller grundare än Tanganyikasjön?;https://www.britannica.com/story/9-of-the-worlds-deepest-lakes;2023
Är olivträdet i Vouves äldre eller yngre än idegranen i Llangernyw?;https://a-z-animals.com/articles/the-oldest-trees-in-the-entire-world/;2023
Är Fuji högre eller lägre än Kilimanjaro?;https://en.wikipedia.org/wiki/Mount_Fuji ; https://en.wikipedia.org/wiki/Mount_Kilimanjaro;2024
Blir en gran i regel äldre eller yngre än en tall?;https://www.britishhardwood.co.uk/tree-life-expectancy;2024
Är jättesekvojan General Sherman högre eller lägre än rekordsekvojan Hyperion?;https://en.wikipedia.org/wiki/General_Sherman_Tree ; https://en.wikipedia.org/wiki/Hyperion_(tree);2024
Blir ett olivträd i regel äldre eller yngre än en av de äldsta bristleconetallarna?;https://www.standfortrees.org/post/blog-methuselah-worlds-oldest-tree;2023
Blir ett äppelträd i regel äldre eller yngre än en björk?;https://aplustree.com/how-long-do-trees-live/;2024
Är en fullvuxen ek högre eller lägre än jättesekvojan General Sherman?;https://greg.app/oak-tree-size/ ; https://en.wikipedia.org/wiki/General_Sherman_Tree;2024
Är Vättern djupare eller grundare än Hornavan, Sveriges djupaste sjö?;https://en.wikipedia.org/wiki/V%C3%A4ttern ; https://en.wikipedia.org/wiki/Hornavan;2023
Är en saguarokaktus högre eller lägre än en fullvuxen ek?;https://www.kew.org/plants/saguaro ; https://greg.app/oak-tree-size/;2024
Är Mauna Loa högre eller lägre än Kilimanjaro?;https://geology.com/records/largest-volcano/ ; https://en.wikipedia.org/wiki/Mount_Kilimanjaro;2024
Är Kaspiska havet djupare eller grundare än Tanganyikasjön?;https://www.britannica.com/story/9-of-the-worlds-deepest-lakes;2023
Blir en ek i regel äldre eller yngre än en tall?;https://www.britishhardwood.co.uk/tree-life-expectancy;2024
Är en kustsekvoja som Hyperion högre eller lägre än en fullvuxen ek?;https://en.wikipedia.org/wiki/Hyperion_(tree) ; https://greg.app/oak-tree-size/;2024
