fråga;källa;år
Väger en anka mer eller mindre än en svan?;Wikipedia (Mute swan); measuringly.com (duck weight);2026
Är en mus längre eller kortare än en råtta?;dimensions.com (House Mouse); biologyinsights.com (mouse vs rat);2026
Väger en groda mer eller mindre än en padda?;Wikipedia (Common frog); San Diego Zoo (frog and toad);2026
Väger en krabba mer eller mindre än en hummer?;fresh-seafood.net; webstaurantstore.com (crab/lobster sizes);2026
Väger en mullvad mer eller mindre än en grävling?;Wikipedia (European mole); Wikipedia (European badger);2026
Väger en fladdermus mer eller mindre än en uggla?;Wikipedia (Tawny owl); Bat Conservation Trust;2026
Väger en torsk mer eller mindre än en makrill?;rackelhanen.se (torsk); Havs- och vattenmyndigheten;2026
Väger en älg mer eller mindre än en ren?;Wikipedia (Europeisk älg); wildbruecke.de (renvikt);2026
Väger en kalv mer eller mindre än ett lamm?;FAO (growth); drlogy.com (newborn lamb);2026
Väger en pelikan mer eller mindre än en kolibri?;Wikipedia (Pelican); Wikipedia (Hummingbird);2026
Är en hammarhaj längre eller kortare än en knölval?;Britannica (hammerhead shark); Wikipedia (Humpback whale);2026
Väger en aprikos mer eller mindre än en pumpa?;weighschool/nutri.it.com (apricot); positivebloom.com (pumpkin);2026
Väger en kokosnöt mer eller mindre än ett ägg?;Wikipedia (Chicken egg sizes); joyofbaking.com (coconut);2026
Väger ett blomkålshuvud mer eller mindre än en gurka?;weighschool.com (cauliflower); preparedcooks.com (cucumber);2026
Väger en klementin mer eller mindre än en mango?;weighschool.com (clementine); traditionaloven.com (mango);2026
Väger en åkgräsklippare mer eller mindre än en golfbil?;survivaltechshop.com (riding mower); golfcartsearch.com;2026
Väger en gräsklippare mer eller mindre än en snöskoter?;peakyard.com (push mower); mysnowmobileguide.com;2026
Väger en boulekula mer eller mindre än en innebandyboll?;Wikipedia (Pétanque); Wikipedia (Floorball);2026
Väger en squashboll mer eller mindre än en boxningssäck?;World Squash (ball spec); proboxingequipment.com (bag weight);2026
Är Månen större eller mindre i diameter än dvärgplaneten Ceres?;NASA Science (Moon); Wikipedia (Ceres dwarf planet);2026
Faller det mer eller mindre regn på en timme i ett duggregn än i ett skyfall?;NOAA/Met Office rainfall intensity;2026
Väger en frisbee mer eller mindre än en tennisracket?;discnation.com (disc weight); tennishead.net (racket spec);2026
