fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Vilket märke finns i flest länder?;IKEA;H&M;63;81;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Electrolux;Volvo Cars;120;100;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Spotify;Nestlé;184;185;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Ericsson;Daniel Wellington;180;100;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;H&M;McDonald's;81;114;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Volvo Cars;Fjällräven;100;73;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Oriflame;Daniel Wellington;60;100;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;H&M;Klarna;81;45;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Absolut Vodka;Coca-Cola;126;200;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Volvo Cars;Klarna;100;45;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Daniel Wellington;Nestlé;100;185;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Fjällräven;Klarna;73;45;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Daniel Wellington;Spotify;100;184;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Spotify;IKEA;184;63;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;IKEA;Tetra Pak;63;160;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Nestlé;Oriflame;185;60;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Klarna;Netflix;45;190;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Coca-Cola;Klarna;200;45;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Klarna;Electrolux;45;120;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Netflix;Fjällräven;190;73;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Fjällräven;Coca-Cola;73;200;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Spotify;Oriflame;184;60;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;H&M;Netflix;81;190;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Coca-Cola;H&M;200;81;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Clas Ohlson;Coca-Cola;3;200;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Spotify;Systembolaget;184;1;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Polestar;Nestlé;27;185;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Netflix;Willys;190;1;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Polestar;Ericsson;27;180;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;McDonald's;Clas Ohlson;114;3;länder;Hur många länder skiljer det?
