fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Hade Whitney Houston fler eller färre listettor på amerikanska Billboard-listan än Madonna?;Whitney Houston;Madonna;11;12;listettor;Hur många listettor skiljer det?
Är en dirigentpinne längre eller kortare än en trumstock?;Dirigentpinne;Trumstock;35;41;centimeter;Hur många centimeter skiljer det?
Har The Rolling Stones gett ut fler eller färre brittiska studioalbum än The Beatles?;The Rolling Stones;The Beatles;24;12;studioalbum;Hur många studioalbum skiljer det?
Hade Michael Jackson fler eller färre listettor på amerikanska Billboard Hot 100-listan än Elvis Presley?;Michael Jackson;Elvis Presley;13;7;listettor;Hur många listettor skiljer det?
Har Pink Floyd gett ut fler eller färre studioalbum än Led Zeppelin?;Pink Floyd;Led Zeppelin;15;9;studioalbum;Hur många studioalbum skiljer det?
Blev Mozart äldre eller yngre än Beethoven?;Mozart;Beethoven;35;56;år;Hur många år skiljer det?
Blev Elvis Presley äldre eller yngre än Frank Sinatra?;Elvis Presley;Frank Sinatra;42;82;år;Hur många år skiljer det?
Har U2 vunnit fler eller färre Grammy-priser än Metallica (t.o.m. 2024)?;U2;Metallica;22;10;Grammy-priser;Hur många Grammy-priser skiljer det?
Är Madonnas Like a Prayer längre eller kortare än Led Zeppelins Stairway to Heaven?;Madonnas Like a Prayer;Led Zeppelins Stairway to Heaven;341;482;sekunder;Hur många sekunder skiljer det?
Tävlade fler eller färre bidrag i Eurovision-finalen 2023 än i Melodifestivalens final samma år?;Eurovision-finalen 2023;Melodifestivalens final 2023;26;12;bidrag;Hur många bidrag skiljer det?
Är Pavarottis Nessun dorma längre eller kortare än Whitney Houstons I Will Always Love You?;Pavarottis Nessun dorma;Whitney Houstons I Will Always Love You;187;271;sekunder;Hur många sekunder skiljer det?
Är violinisterna i en symfoniorkester fler eller färre än cellisterna?;Violinisterna i en symfoniorkester;Cellisterna i en symfoniorkester;30;10;musiker;Hur många musiker skiljer det?
Har Bob Dylan gett ut fler eller färre studioalbum än Madonna?;Bob Dylan;Madonna;40;14;studioalbum;Hur många studioalbum skiljer det?
Har Celine Dion vunnit fler eller färre Grammy-priser än Aretha Franklin (t.o.m. 2024)?;Celine Dion;Aretha Franklin;5;18;Grammy-priser;Hur många Grammy-priser skiljer det?
Hade Woodstock-festivalen 1969 fler eller färre besökare än Håkan Hellströms rekordkonsert på Ullevi 2025?;Woodstock-festivalen 1969;Håkan Hellströms Ullevikonsert 2025;400;74;tusen besökare;Hur många tusen besökare skiljer det?
Har en CD-skiva större eller mindre diameter än en LP-skiva?;CD-skiva;LP-skiva;12;30;centimeter;Hur många centimeter skiljer det?
Väger en fiol mer eller mindre än en trumpet?;Fiol;Trumpet;0,45;1,2;kilo;Hur många kilo skiljer det?
Väger en konsertharpa mer eller mindre än en tuba?;Konsertharpa;Tuba;36;10;kilo;Hur många kilo skiljer det?
Hade The Rolling Stones fler eller färre listettor på amerikanska Billboard-listan än The Beatles?;The Rolling Stones;The Beatles;8;20;listettor;Hur många listettor skiljer det?
Är Bob Dylans Like a Rolling Stone längre eller kortare än Aretha Franklins Respect?;Bob Dylans Like a Rolling Stone;Aretha Franklins Respect;373;149;sekunder;Hur många sekunder skiljer det?
Har en symfoniorkester fler eller färre musiker än en jazztrio?;Symfoniorkester;Jazztrio;100;3;musiker;Hur många musiker skiljer det?
Väger en vinyl-LP mer eller mindre än en CD-skiva?;Vinyl-LP;CD-skiva;140;15;gram;Hur många gram skiljer det?
Fick Charlotte Perrellis Take Me to Your Heaven fler eller färre poäng i Eurovision 1999 än vad ABBAs Waterloo fick 1974?;Charlotte Perrellis Take Me to Your Heaven;ABBAs Waterloo;163;24;poäng;Hur många poäng skiljer det?
Väger en piccolaflöjt mer eller mindre än en kontrabas?;Piccolaflöjt;Kontrabas;0,3;10;kilo;Hur många kilo skiljer det?
Har en ukulele fler eller färre strängar än en flygel?;Ukulele;Flygel;4;230;strängar;Hur många strängar skiljer det?
