fråga;källa;år
Hade Norge fler eller färre invånare än Finland 2024?;SSB / Statistikcentralen (Norge ~5,57 milj, Finland ~5,62 milj);2024
Drog Barbie in mer eller mindre än Super Mario Bros-filmen i biljettintäkter (2023)?;Variety / Box Office Mojo (Barbie ~1,36 mdr USD, Super Mario ~1,35 mdr USD, 2023 års rapportering);2023
Hade Instagram fler eller färre månadsanvändare än TikTok 2024?;DataReportal / Statista (Instagram ~2,0 mdr MAU, TikTok ~1,58 mdr MAU);2024
Hade McDonald's fler eller färre restauranger i världen än Starbucks 2024?;McDonald's "Restaurants by Market 2024" (43 477) / Starbucks SEC 8-K Q4 FY2024 (40 199);2024
Drog Oppenheimer in mer eller mindre än Barbie i biljettintäkter (2023)?;Box Office Mojo / Variety (Oppenheimer ~950 milj USD, Barbie ~1,36 mdr USD);2023
Hade Lionel Messi fler eller färre följare på Instagram än Cristiano Ronaldo (2024)?;Sportico / Wikipedia List of most-followed Instagram accounts (Messi ~503, Ronaldo ~632 milj);2024
Drog Deadpool & Wolverine in mer eller mindre än Insidan ut 2 i biljettintäkter (2024)?;Box Office Mojo / Statista (Deadpool & Wolverine ~1,338 mdr, Insidan ut 2 ~1,699 mdr USD);2024
Hade Polen en större eller mindre BNP än Sverige 2023?;Worldometer / Världsbanken (Polen ~809 mdr USD, Sverige ~579 mdr USD, nominellt);2023
Drog Vaiana 2 in mer eller mindre än Deadpool & Wolverine i biljettintäkter (2024)?;Box Office Mojo (Vaiana 2 ~1,059 mdr slutsumma, Deadpool & Wolverine ~1,338 mdr USD);2024
Hade Cristiano Ronaldo fler eller färre följare på Instagram än Selena Gomez (2024)?;Wikipedia: List of most-followed Instagram accounts (Ronaldo ~632, Selena ~426 milj);2024
Hade Microsoft en större eller mindre årsomsättning än Apple räkenskapsåret 2023?;Microsoft FY2023 10-K (~211,9 mdr USD) / Apple 10-K FY2023 (383,3 mdr USD);2023
Drog Insidan ut 2 in mer eller mindre än Vaiana 2 i biljettintäkter (2024)?;Box Office Mojo (Insidan ut 2 ~1,699 mdr, Vaiana 2 ~1,059 mdr slutsumma USD);2024
Hade Danmark fler eller färre invånare än Sverige 2024?;Danmarks Statistik / SCB (Danmark ~5,96 milj, Sverige ~10,55 milj);2024
Hade Amazon en större eller mindre årsomsättning än Alphabet 2023?;Amazon 10-K 2023 (~574,8 mdr) / Alphabet 10-K 2023 (~307,4 mdr USD);2023
Hade Apple en större eller mindre årsomsättning än Walmart räkenskapsåret 2023?;Apple 10-K FY2023 (383,3 mdr USD) / Walmart 10-K FY2023 (611 mdr USD);2023
Hade Netflix fler eller färre abonnenter än Disney+ vid slutet av 2024?;Netflix Q4 2024 (~301 milj) / Disney Q4 FY2024 8-K (~124,6 milj, exkl. Hotstar);2024
Drog Elton Johns Farewell Yellow Brick Road-turné in mer eller mindre än Taylor Swifts Eras Tour totalt?;Billboard Boxscore (Elton John 939,1 milj slutsumma) / Variety (Eras 2,08 mdr USD slutsumma);2023-2024
Hade Spotify fler eller färre betalande premiumkunder än totala månadsanvändare i slutet av 2024?;Spotify Q4 2024 6-K (premium 263 milj, MAU 675 milj);2024
Hade Meta en större eller mindre årsomsättning än Amazon 2023?;Meta 10-K 2023 (~134,9 mdr) / Amazon 10-K 2023 (~574,8 mdr USD);2023
Såldes det fler eller färre PlayStation 5 än Xbox Series X/S under 2024?;VGChartz helårsestimat 2024 (PS5 ~18,65 milj, Xbox Series ~4,97 milj);2024
Levererade Tesla fler eller färre bilar än Volkswagen-koncernen 2023?;Tesla Q4 2023 (1,81 milj) / VW Group årsredovisning 2023 (9,24 milj);2023
Levererade Tesla fler eller färre bilar än Toyota 2023?;Tesla Q4 2023 (1,81 milj) / Toyota global 2023 (11,23 milj);2023
Hade Amazon fler eller färre anställda än Apple 2023?;Amazon 10-K 2023 (~1 525 000) / Apple 10-K FY2023 (~161 000);2023
Hade USA fler eller färre invånare än Sverige 2024?;US Census 2024 estimat (~340,1 milj) / SCB (Sverige ~10,55 milj);2024
Hade Indien fler eller färre invånare än Sverige 2024?;UN World Population Prospects 2024 (Indien ~1 451 milj) / SCB (Sverige ~10,55 milj);2024
Hade Danmark fler eller färre invånare än Finland 2024?;Danmarks Statistik / Statistikcentralen (Danmark ~5,96 milj, Finland ~5,62 milj);2024
Sålde Hogwarts Legacy fler eller färre exemplar än Zelda: Tears of the Kingdom under 2023?;Variety / Warner Bros (Hogwarts Legacy ~22 milj) / Nintendo (Tears of the Kingdom 20,28 milj);2023
Hade MrBeast fler eller färre YouTube-prenumeranter än Cristiano Ronaldo hade Instagram-följare (2024)?;Dexerto / Wikipedia (MrBeast ~334 milj YouTube vid årsskiftet 2024, Ronaldo ~632 milj Instagram);2024
Hade Tyskland fler eller färre invånare än Frankrike 2024?;Destatis (Tyskland 83,58 milj 31 dec 2024) / Insee (Frankrike ~64,9 milj);2024
Hade Nigeria fler eller färre invånare än Brasilien 2024?;UN World Population Prospects / Worldometer (Nigeria ~232,7 milj, Brasilien ~212 milj);2024
Hade Japan fler eller färre invånare än Mexiko 2024?;UN/Worldometer (Japan ~124 milj, Mexiko ~131 milj);2024
Hade Egypten fler eller färre invånare än Tyskland 2024?;Worldometer (Egypten ~116,5 milj) / Destatis (Tyskland 83,58 milj);2024
Hade Sydkorea fler eller färre invånare än Spanien 2024?;Statistics Korea (~51,74 milj) / INE (Spanien 48,62 milj 1 jan 2024);2024
Hade Australien fler eller färre invånare än Taiwan 2024?;ABS (Australien ~27,2 milj) / Taiwan MOI (~23,95 milj);2024
