fråga;källa;år
Är kokande vatten varmare eller kallare än vatten som fryser till is?;Allmän fysik (vatten kokar vid 100 °C, fryser vid 0 °C vid normalt lufttryck);2025
Är snödjupet i Malmö en vanlig vinter större eller mindre än vid ett rekord uppe i fjällen?;SMHI Svenska snödjupsrekord (327 cm Kopparåsen 28 feb 1926) + SMHI klimatdata Malmö;1926
Blåser det mer eller mindre i den kraftigaste uppmätta vindbyn än en lätt sommarbris?;SMHI Svenska vindrekord (byvind Tarfala 81 m/s = ca 292 km/h, 1992);2024
Är ett vanligt hagelkorn större eller mindre än det största hagelkornet som uppmätts?;NOAA/Guinness rekordhagel ca 20 cm diameter (Vivian, South Dakota 2010);2024
Åskar det fler eller färre dagar om året i Sverige än i tropikerna?;SMHI/WMO åskdagar (tropiska zoner ~150-250 åskdagar/år, Sverige ~15-20);2024
Regnar det fler eller färre dagar om året i regnskogen än i öknen?;Klimatstatistik tropisk regnskog vs ökenklimat (Köppen);2024
Faller det mer eller mindre regn på ett år i Stockholm än i Cherrapunji i Indien?;Wikipedia Cherrapunji (medel ca 11 700 mm/år) + Miljöbarometern Stockholm (547 mm);2024
Blåser det mer eller mindre i en orkan än en kraftig blåst en höstdag?;SMHI vindskalor (orkan ≥ 32,7 m/s ≈ 118 km/h, här kraftig orkan ~250 km/h byvind);2024
Lyser solen fler eller färre timmar om året i regniga Bergen än i Sahara?;illvet.se/SMHI (östra Sahara ~4300 soltimmar; Bergen ca 1100);2024
Faller det mer eller mindre regn på ett år i Bergen än i Malmö?;yr.no/met.no Bergen normal 1991-2020 (~2500 mm) + SMHI Malmö normal (~600 mm);2024
Är snödjupet en vanlig vinter större eller mindre i Stockholm än i Kiruna?;SMHI snödjupsstatistik (Kiruna typiskt ~0,8 m, Stockholm ~0,15 m);2024
Är det varmare eller kallare en svensk värmebölja än en vanlig vårdag?;SMHI definition värmebölja (>25 °C dagstemp) vs typisk vårdag ~12 °C;2024
Blåser det mer eller mindre vid en svag vind än vid kuling?;SMHI Beaufortskala (kuling 13,9-17,1 m/s ≈ 50-62 km/h; svag vind ~3 m/s);2024
Åskar det fler eller färre dagar om året i Florida än i Sverige?;NOAA åskdagar Florida (~80-100/år) + SMHI Sverige (~15-20/år);2024
Är det varmare eller kallare en svensk sommardag än i en bastu?;Svensk bastutemperatur ~80-100 °C; SMHI sommardag definition (>20-25 °C);2024
Är snödjupet en vanlig vinter större eller mindre i Östersund än i Göteborg?;SMHI snödjupsstatistik (Östersund ~0,5-0,6 m, Göteborg ~0,1 m);2024
Är det varmare eller kallare på natten i Sahara än mitt på dagen i Sahara?;Klimatdata Sahara (dagstemp ~40-45 °C, natt ner mot ~5-10 °C);2024
Lyser solen fler eller färre timmar om året på Gran Canaria än i Bergen?;AEMET Las Palmas de Gran Canaria (~2830 soltimmar) + yr.no Bergen (~1100-1135);2024
Blåser det mer eller mindre en vanlig blåsig dag än i en höststorm?;SMHI vindskalor (storm 24,5-28,4 m/s ≈ 88-102 km/h; här ~130 km/h byvind);2024
Lyser solen fler eller färre timmar om året i soliga Spanien än i Sverige?;AEMET/SMHI (södra Spanien ~2800 soltimmar; Sverige snitt ~1700-1900);2024
Faller det mer eller mindre regn på ett år i Stockholm än i Göteborg?;mittresvader.se Göteborg (776 mm) + Miljöbarometern Stockholm (547 mm);2024
Är det varmare eller kallare i juli i Malmö än i Kiruna?;SMHI normalvärden juli medeltemp (Malmö ~17-18 °C, Kiruna ~13 °C);2024
Blåser det mer eller mindre en blåsig dag än en lugn dag?;SMHI Beaufortskala (frisk vind ~11 m/s ≈ 40 km/h; lätt vind ~5 m/s ≈ 18 km/h);2024
Regnar det fler eller färre dagar om året i London än i Stockholm?;SMHI Stockholm (~165-170 nederbördsdagar) + Met Office London (~109 regndagar);2024
Är det varmare eller kallare i juli i Stockholm än i Kiruna?;SMHI normalvärden 1991-2020 juli dygnsmedeltemp (Stockholm ~18; Kiruna ~13);2024
Lyser solen fler eller färre timmar om året i Malmö än i Göteborg?;SMHI soltimmar (Malmö ~1850-1900) + SMHI Göteborg (~1700);2024
