fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Springer en älg fortare eller långsammare än en vattenbuffel?;Älg;Vattenbuffel;55;50;km/h;Hur många km/h skiljer det?
Är en zebra högre eller lägre än en gnu i mankhöjd?;Zebra;Gnu;140;135;centimeter;Hur många centimeter skiljer det?
Väger en gråsäl mer eller mindre än ett sjölejon?;Gråsäl;Sjölejon;300;350;kilo;Hur många kilo skiljer det?
Väger en gnu mer eller mindre än en zebra?;Gnu;Zebra;250;300;kilo;Hur många kilo skiljer det?
Lever en kapybara längre eller kortare än en bäver?;Kapybara;Bäver;8;16;år;Hur många år skiljer det?
Väger en yak mer eller mindre än en vattenbuffel?;Yak;Vattenbuffel;500;800;kilo;Hur många kilo skiljer det?
Är en dromedar högre eller lägre än en lama i mankhöjd?;Dromedar;Lama;2;1,2;meter;Hur många meter skiljer det?
Är vingspannet på en vandringsalbatross större eller mindre än på en andeskondor?;Vandringsalbatross;Andeskondor;3,5;2,8;meter;Hur många meter skiljer det?
Väger en bison mer eller mindre än en flodhäst?;Bison;Flodhäst;900;1500;kilo;Hur många kilo skiljer det?
Är en valross längre eller kortare än en sjöelefant?;Valross;Sjöelefant;3;5;meter;Hur många meter skiljer det?
Lever en koala längre eller kortare än en röd känguru?;Koala;Röd känguru;15;22;år;Hur många år skiljer det?
Lever en kakadua längre eller kortare än en grå jako?;Kakadua;Grå jako;40;60;år;Hur många år skiljer det?
Väger en isbjörn mer eller mindre än en jättepanda?;Isbjörn;Jättepanda;450;100;kilo;Hur många kilo skiljer det?
Är en flasknosdelfin längre eller kortare än en pottval?;Flasknosdelfin;Pottval;3;16;meter;Hur många meter skiljer det?
Väger en noshörning mer eller mindre än en vattenbuffel?;Noshörning;Vattenbuffel;2300;800;kilo;Hur många kilo skiljer det?
Lever en isbjörn längre eller kortare än en rödräv?;Isbjörn;Rödräv;25;6;år;Hur många år skiljer det?
Väger en varg mer eller mindre än en rödräv?;Varg;Rödräv;40;7;kilo;Hur många kilo skiljer det?
Är en pottval längre eller kortare än en narval?;Pottval;Narval;16;4,5;meter;Hur många meter skiljer det?
Är en utter längre eller kortare än en sjöelefant?;Utter;Sjöelefant;1;5;meter;Hur många meter skiljer det?
Lever en hare längre eller kortare än en isbjörn?;Hare;Isbjörn;5;25;år;Hur många år skiljer det?
Väger en gorilla mer eller mindre än en koala?;Gorilla;Koala;170;12;kilo;Hur många kilo skiljer det?
Väger en vikare mer eller mindre än en valross?;Vikare;Valross;70;1000;kilo;Hur många kilo skiljer det?
Väger ett piggsvin mer eller mindre än en noshörning?;Piggsvin;Noshörning;15;2300;kilo;Hur många kilo skiljer det?
