fråga;källa;år
Väger en flodhäst mer eller mindre än en noshörning?;Wikipedia – Flodhäst / Vit noshörning;2024
Springer en zebra fortare eller långsammare än en flodhäst?;National Geographic – Zebra / Hippopotamus;2023
Lever en guldfisk längre eller kortare än en grå jako?;Wikipedia – Guldfisk / Grå jako (livslängd);2024
Väger en koala mer eller mindre än en jättepanda?;WWF – Koala / Giant panda;2024
Är en kungskobra längre eller kortare än en nätpyton?;Wikipedia – King cobra / Reticulated python;2024
Väger en sjöelefant mer eller mindre än en valross?;NOAA Fisheries – Northern elephant seal / Walrus;2023
Väger en dromedar mer eller mindre än en giraff?;Wikipedia – Dromedary / Giraffe;2024
Väger en gepard mer eller mindre än en tiger?;WWF – Cheetah / Tiger;2024
Väger en kejsarpingvin mer eller mindre än en vandringsalbatross?;Wikipedia – Emperor penguin / Wandering albatross;2024
Lever en galapagossköldpadda längre eller kortare än en grå jako?;Wikipedia – Galápagos tortoise / Grey parrot lifespan;2024
Väger en späckhuggare mer eller mindre än en blåval?;NOAA Fisheries – Orca / Blue whale;2023
Springer en gnu fortare eller långsammare än en gepard?;National Geographic – Wildebeest / Cheetah speed;2023
Väger en komodovaran mer eller mindre än en grön leguan?;Wikipedia – Komodo dragon / Green iguana;2024
Lägger en nilkrokodil fler eller färre ägg per kull än en havssköldpadda?;Wikipedia – Nile crocodile / Sea turtle clutch size;2024
Väger en bäver mer eller mindre än en utter?;Wikipedia – Eurasian beaver / European otter;2024
Slår en mus fler eller färre hjärtslag per minut än en kolibri?;Wikipedia – Animal heart rate (mouse / hummingbird);2023
Väger en valross mer eller mindre än en gråsäl?;NOAA Fisheries – Walrus / Grey seal;2023
Springer en rödräv fortare eller långsammare än en kronhjort?;Wikipedia – Red fox / Red deer speed;2023
Är en flasknosdelfin längre eller kortare än en späckhuggare?;NOAA Fisheries – Bottlenose dolphin / Orca;2023
Väger ett honungsbi mer eller mindre än en myra?;Wikipedia – Honey bee / Ant body mass;2023
Lever en mygga längre eller kortare än en dagslända?;Wikipedia – Mosquito / Mayfly adult lifespan;2023
Lever en tamduva längre eller kortare än en flamingo?;Wikipedia – Domestic pigeon / Flamingo lifespan;2024
Lever en blåval längre eller kortare än en galapagossköldpadda?;NOAA Fisheries – Blue whale / Galápagos tortoise lifespan;2024
