sakA;sakB;källa
Atlas Copco;Assa Abloy;Atlas Copco Årsredovisning 2024 (55 267) / Assa Abloy Annual Report 2024 (63 000)
Sandvik;Electrolux;Sandvik Annual Report 2024 (41 447 FTE) / Electrolux Q4 2024 (~41 000)
Volvo;Ericsson;Volvo Group Annual Report 2024 (101 595) / Ericsson Annual Report 2024 SEC 20-F (94 236)
Atlas Copco;SKF;Atlas Copco Årsredovisning 2024 (55 267) / SKF Annual Report 2024 (38 743)
Electrolux;ICA;Electrolux Q4 2024 (~41 000) / ICA Gruppen koncern ~27 000 (Q4 2024)
H&M;Assa Abloy;H&M Group Full-year report 2024 (96 457 FTE) / Assa Abloy Annual Report 2024 (63 000)
IKEA;Volvo;IKEA The Year in Review FY24 (216 000) / Volvo Group Annual Report 2024 (101 595)
Securitas;Nestlé;Securitas Full Year Report 2024 (333 869) / Nestlé Annual Report 2024 (259 871)
Adidas;Sandvik;adidas Annual Report 2024 (62 035) / Sandvik Annual Report 2024 (41 447 FTE)
Skanska;Essity;Skanska Annual Report 2024 (~26 000) / Essity Annual Report 2024 (~36 000)
Swedbank;Nordea;Swedbank årsredovisning 2024 (~18 568) / Nordea Annual Report 2024 (~30 157 FTE)
Telia;Nordea;Telia Company Q4 2024 (16 859) / Nordea Annual Report 2024 (~30 157 FTE)
Axfood;Nordea;Axfood Annual Report 2024 (~15 620) / Nordea Annual Report 2024 (~30 157 FTE)
NCC;Skanska;NCC Annual Report 2024 (11 800) / Skanska Annual Report 2024 (~26 000)
Securitas;H&M;Securitas Full Year Report 2024 (333 869) / H&M Group Full-year report 2024 (96 457 FTE)
Handelsbanken;Swedbank;Svenska Handelsbanken årsredovisning 2024 (~12 644) / Swedbank årsredovisning 2024 (~18 568)
Axfood;Clas Ohlson;Axfood Annual Report 2024 (~15 620) / Clas Ohlson koncern ~5 000 (2024/25)
Dustin;Clas Ohlson;Dustin Group year-end report 2024/25 (~2 045 FTE) / Clas Ohlson koncern ~5 000
Klarna;Mojang;Klarna Holding AB Q4 2024 (3 422 FTE) / Mojang Studios uppskattning ~900 (privat, ej officiell)
Scania;Nestlé;Scania facts & figures 2024 (~59 000) / Nestlé Annual Report 2024 (259 871)
IKEA;Atlas Copco;IKEA The Year in Review FY24 (216 000) / Atlas Copco Årsredovisning 2024 (55 267)
Ericsson;Nestlé;Ericsson Annual Report 2024 SEC 20-F (94 236) / Nestlé Annual Report 2024 (259 871)
Volvo;Essity;Volvo Group Annual Report 2024 (101 595) / Essity Annual Report 2024 (~36 000)
Spotify;Tetra Pak;Spotify Technology 20-F FY2024 (7 261 FTE) / Tetra Pak facts & figures (24 546)
SEB;Boliden;SEB årsredovisning 2024 (~17 851) / Boliden Annual and Sustainability Report 2024 (~6 000)
Mojang;IKEA;Mojang Studios uppskattning ~900 (privat) / IKEA The Year in Review FY24 (216 000)
Securitas;Klarna;Securitas Full Year Report 2024 (333 869) / Klarna Holding AB Q4 2024 (3 422 FTE)
Dustin;Volkswagen;Dustin Group year-end report 2024/25 (~2 045 FTE) / Volkswagen Group Annual Report 2024 (679 472 total workforce)
Spotify;Securitas;Spotify Technology 20-F FY2024 (7 261 FTE) / Securitas Full Year Report 2024 (333 869)
Boliden;Volkswagen;Boliden Annual and Sustainability Report 2024 (~6 000) / Volkswagen Group Annual Report 2024 (679 472 total workforce)
