fråga;källa;år
Invigdes Eiffeltornet före eller efter Frihetsgudinnan i New York?;https://sv.wikipedia.org/wiki/Eiffeltornet (1889) / https://sv.wikipedia.org/wiki/Frihetsgudinnan (1886);2026
Uppfanns telefonen före eller efter glödlampan?;https://www.so-rummet.se/aret-runt/forsta-telefonen (Bell 1876) / https://www.so-rummet.se/aret-runt/patent-pa-glodlampan (Edison 1879);2026
Föll Berlinmuren före eller efter att Sovjetunionen upplöstes?;https://www.historiensvarld.se/krig/kalla-kriget/berlinmurens-fall/ (1989) / https://armemuseum.se/utstallning/sovjetunionens-fall/ (1991);2026
Ägde månlandningen rum före eller efter att webben (WWW) uppfanns?;https://www.so-rummet.se/fakta-artiklar/forsta-manlandningen (1969) / https://en.wikipedia.org/wiki/World_Wide_Web (1991);2026
Sjönk Titanic före eller efter Hindenburgkatastrofen?;https://fredericia.nu/varlden/vilket-ar-sjonk-titanic/ (1912) / https://en.wikipedia.org/wiki/Hindenburg_disaster (1937);2026
Tog vikingatiden slut före eller efter att Romarriket föll?;https://www.so-rummet.se/fakta-artiklar/varfor-gick-romarriket-under (476) / https://romarriket.se/vikingatiden/ (~1050);2026
Blev kristendomen statsreligion i Rom före eller efter att islam grundades?;https://sv.wikipedia.org/wiki/Kristendomen_som_statsreligion (380, Theodosius) / https://sv.wikipedia.org/wiki/Islam (622, hijra);2026
Inleddes reformationen före eller efter att vikingatiden tog slut?;https://romarriket.se/vikingatiden/ (~1050) / https://www.so-rummet.se/fakta-artiklar/martin-luther-och-inledningen-pa-reformationen (1517);2026
Stod Hagia Sofia i Konstantinopel färdig före eller efter Notre-Dame i Paris?;https://www.britannica.com/topic/Hagia-Sophia (537) / https://en.wikipedia.org/wiki/Notre-Dame_de_Paris (1345);2026
Stod Kölnerdomen färdig före eller efter Notre-Dame i Paris?;https://whc.unesco.org/en/list/292/ (Köln 1880) / https://en.wikipedia.org/wiki/Notre-Dame_de_Paris (1345);2026
Bildades Kalmarunionen före eller efter att islam grundades?;https://sv.wikipedia.org/wiki/Islam (622) / https://lex.dk/Kalmarunionen (1397);2026
Tog vikingatiden slut före eller efter att franska revolutionen bröt ut?;https://romarriket.se/vikingatiden/ (~1050) / https://sv.wikipedia.org/wiki/Franska_revolutionen (1789);2026
Nådde digerdöden Europa före eller efter att USA förklarade sig självständigt?;https://historiska.se/utforska-historien/kunskapsbank/digerdoden/ (1347) / https://en.wikipedia.org/wiki/United_States_Declaration_of_Independence (1776);2026
Förklarade sig USA självständigt före eller efter att Kalmarunionen bildades?;https://en.wikipedia.org/wiki/United_States_Declaration_of_Independence (1776) / https://lex.dk/Kalmarunionen (1397);2026
Stod Notre-Dame färdig före eller efter att kvinnlig rösträtt infördes i Sverige?;https://sv.wikipedia.org/wiki/Kvinnlig_rösträtt_i_Sverige (1921 första valet) / https://en.wikipedia.org/wiki/Notre-Dame_de_Paris (1345);2026
Inleddes reformationen före eller efter att kvinnlig rösträtt infördes i Sverige?;https://sv.wikipedia.org/wiki/Kvinnlig_rösträtt_i_Sverige (1921) / https://www.so-rummet.se/fakta-artiklar/martin-luther-och-inledningen-pa-reformationen (1517);2026
Undertecknades Magna Carta före eller efter att kvinnlig rösträtt infördes i Sverige?;https://sv.wikipedia.org/wiki/Kvinnlig_rösträtt_i_Sverige (1921) / https://www.britannica.com/topic/Magna-Carta (1215);2026
Upptäckte Columbus Amerika före eller efter att islam grundades?;https://sv.wikipedia.org/wiki/Islam (622) / https://sv.wikipedia.org/wiki/Christofer_Columbus (1492);2026
Föll Romarriket före eller efter att Columbus upptäckte Amerika?;https://www.so-rummet.se/fakta-artiklar/varfor-gick-romarriket-under (476) / https://sv.wikipedia.org/wiki/Christofer_Columbus (1492);2026
Sjönk Vasaskeppet före eller efter att Hagia Sofia stod färdig?;https://www.britannica.com/topic/Hagia-Sophia (537) / https://en.wikipedia.org/wiki/Vasa_(ship) (1628);2026
Stod Notre-Dame färdig före eller efter att Romarriket föll?;https://en.wikipedia.org/wiki/Notre-Dame_de_Paris (1345) / https://www.so-rummet.se/fakta-artiklar/varfor-gick-romarriket-under (476);2026
Föll Romarriket före eller efter att digerdöden nådde Europa?;https://www.so-rummet.se/fakta-artiklar/varfor-gick-romarriket-under (476) / https://historiska.se/utforska-historien/kunskapsbank/digerdoden/ (1347);2026
