fråga;källa;år
Hade Whitney Houston fler eller färre listettor på amerikanska Billboard-listan än Madonna?;Billboard.com Hot 100 no 1-statistik (Whitney 11, Madonna 12);2024
Är en dirigentpinne längre eller kortare än en trumstock?;Typisk taktpinne ca 35 cm (dirigentutrustning), trumstock 5A 40,6 cm (Vic Firth spec);2024
Har The Rolling Stones gett ut fler eller färre brittiska studioalbum än The Beatles?;Wikipedia: Hackney Diamonds (2023) = Stones 24:e brittiska studioalbum / The Beatles discography, 12 brittiska studioalbum;2023
Hade Michael Jackson fler eller färre listettor på amerikanska Billboard Hot 100-listan än Elvis Presley?;Billboard.com: Hot 100-eran (från 1958), Michael Jackson 13 listettor, Elvis Presley 7 (hans 18 inkluderar äldre Billboard-poplistor före Hot 100);2024
Har Pink Floyd gett ut fler eller färre studioalbum än Led Zeppelin?;Wikipedia: Pink Floyd discography (15) / Led Zeppelin discography (9);2024
Blev Mozart äldre eller yngre än Beethoven?;Wikipedia: Mozart 1756-1791 (35 år), Beethoven 1770-1827 (56 år);1791/1827
Blev Elvis Presley äldre eller yngre än Frank Sinatra?;Wikipedia: Elvis Presley 1935-1977 (42 år), Frank Sinatra 1915-1998 (82 år);1977/1998
Har U2 vunnit fler eller färre Grammy-priser än Metallica (t.o.m. 2024)?;Grammy.com/Billboard: U2 22 vinster; Metallica 10 vinster (10:e = Best Metal Performance för 72 Seasons, feb 2024);2024
Är Madonnas Like a Prayer längre eller kortare än Led Zeppelins Stairway to Heaven?;Wikipedia: Like a Prayer 5:41 (albumversion) / Stairway to Heaven 8:02 (albumversion);1989/1971
Tävlade fler eller färre bidrag i Eurovision-finalen 2023 än i Melodifestivalens final samma år?;eurovision.tv (26 bidrag i finalen 2023) / SVT Melodifestivalen (12 bidrag i finalen 2023);2023
Är Pavarottis Nessun dorma längre eller kortare än Whitney Houstons I Will Always Love You?;Discogs/Decca: Nessun dorma-singeln 1990 (Mehta-inspelningen) 3:07 / Wikipedia: I Will Always Love You (Whitney Houston) 4:31;1990/1992
Är violinisterna i en symfoniorkester fler eller färre än cellisterna?;Wikipedia: Symphony orchestra, typisk besättning ca 30 violiner (16+14) och ca 10 celli;2024
Har Bob Dylan gett ut fler eller färre studioalbum än Madonna?;Wikipedia: Bob Dylan discography (40 studioalbum t.o.m. 2024) / Madonna albums discography (14);2024
Har Celine Dion vunnit fler eller färre Grammy-priser än Aretha Franklin (t.o.m. 2024)?;Grammy.com: Celine Dion 5 vinster, Aretha Franklin 18 vinster;2024
Hade Woodstock-festivalen 1969 fler eller färre besökare än Håkan Hellströms rekordkonsert på Ullevi 2025?;Wikipedia: Woodstock ca 400 000 besökare / Got Event/SVT: Ullevis publikrekord 73 781, Håkan Hellström 7 juni 2025;1969/2025
Har en CD-skiva större eller mindre diameter än en LP-skiva?;Red Book CD-standard 12 cm / vinylstandard LP 12 tum = 30 cm;2024
Väger en fiol mer eller mindre än en trumpet?;Instrumentspecar: fiol ca 0,45 kg, Bb-trumpet ca 1,2 kg;2024
Väger en konsertharpa mer eller mindre än en tuba?;Lyon & Healy konsertharpa ca 36 kg / tuba ca 10 kg (tillverkarspec);2024
Hade The Rolling Stones fler eller färre listettor på amerikanska Billboard-listan än The Beatles?;Billboard.com Hot 100 no 1-statistik (Stones 8, Beatles 20);2024
Är Bob Dylans Like a Rolling Stone längre eller kortare än Aretha Franklins Respect?;Wikipedia: Like a Rolling Stone 6:13 / Respect (Aretha Franklin recording) 2:29;1965/1967
Har en symfoniorkester fler eller färre musiker än en jazztrio?;Wikipedia: Symphony orchestra ca 100 musiker / jazztrio 3 per definition;2024
Väger en vinyl-LP mer eller mindre än en CD-skiva?;Vinylstandard ca 140 g / CD-skiva ca 15 g (fysiska specar);2024
Fick Charlotte Perrellis Take Me to Your Heaven fler eller färre poäng i Eurovision 1999 än ABBAs Waterloo fick 1974?;eurovision.tv resultat 1999 (163 poäng) och 1974 (24 poäng);1999/1974
Väger en piccolaflöjt mer eller mindre än en kontrabas?;Instrumentspecar: piccolaflöjt ca 0,3 kg, kontrabas ca 10 kg;2024
Har en ukulele fler eller färre strängar än en flygel?;Ukulele 4 strängar (standard) / flygel ca 230 strängar (Steinway spec);2024
