fråga;källa;år
Är Empire State Building högre eller lägre än Eiffeltornet?;https://en.wikipedia.org/wiki/Empire_State_Building ; https://en.wikipedia.org/wiki/Eiffel_Tower;2024
Är Shanghai Tower högre eller lägre än Tokyo Skytree?;https://en.wikipedia.org/wiki/Tokyo_Skytree ; https://en.wikipedia.org/wiki/Shanghai_Tower;2024
Är Petronas Towers högre eller lägre än Empire State Building?;https://en.wikipedia.org/wiki/Petronas_Towers ; https://en.wikipedia.org/wiki/Empire_State_Building;2024
Är Frihetsgudinnan högre eller lägre än Burj Khalifa?;https://en.wikipedia.org/wiki/Burj_Khalifa ; https://en.wikipedia.org/wiki/Statue_of_Liberty;2024
Är Burj Khalifa högre eller lägre än Eiffeltornet?;https://en.wikipedia.org/wiki/Burj_Khalifa ; https://en.wikipedia.org/wiki/Eiffel_Tower;2024
Är CN Tower högre eller lägre än Globen?;https://en.wikipedia.org/wiki/CN_Tower ; https://en.wikipedia.org/wiki/Avicii_Arena;2024
Är Tokyo Skytree högre eller lägre än Eiffeltornet?;https://en.wikipedia.org/wiki/Tokyo_Skytree ; https://en.wikipedia.org/wiki/Eiffel_Tower;2024
Är Kölnerdomen högre eller lägre än Sagrada Família?;https://en.wikipedia.org/wiki/Sagrada_Fam%C3%ADlia ; https://en.wikipedia.org/wiki/Cologne_Cathedral;2026
Är Ulms domkyrka högre eller lägre än Big Ben?;https://en.wikipedia.org/wiki/Ulm_Minster ; https://en.wikipedia.org/wiki/Big_Ben;2024
Är lutande tornet i Pisa högre eller lägre än Big Ben?;https://en.wikipedia.org/wiki/Leaning_Tower_of_Pisa ; https://en.wikipedia.org/wiki/Big_Ben;2024
Är Washingtonmonumentet högre eller lägre än Space Needle?;https://en.wikipedia.org/wiki/Space_Needle ; https://en.wikipedia.org/wiki/Washington_Monument;2024
Är Washingtonmonumentet högre eller lägre än Big Ben?;https://en.wikipedia.org/wiki/Washington_Monument ; https://en.wikipedia.org/wiki/Big_Ben;2024
Är Kristusstatyn i Rio högre eller lägre än Frihetsgudinnan?;https://en.wikipedia.org/wiki/Statue_of_Liberty ; https://en.wikipedia.org/wiki/Christ_the_Redeemer_(statue);2024
Är Cheopspyramiden högre eller lägre än Kristusstatyn i Rio?;https://en.wikipedia.org/wiki/Great_Pyramid_of_Giza ; https://en.wikipedia.org/wiki/Christ_the_Redeemer_(statue);2024
Är Globen högre eller lägre än Burj Khalifa?;https://en.wikipedia.org/wiki/Avicii_Arena ; https://en.wikipedia.org/wiki/Burj_Khalifa;2024
Är Globen högre eller lägre än Kaknästornet?;https://en.wikipedia.org/wiki/Kakn%C3%A4stornet ; https://en.wikipedia.org/wiki/Avicii_Arena;2024
Har Akashi Kaikyo-bron längre eller kortare huvudspann än Golden Gate-bron?;https://en.wikipedia.org/wiki/Akashi_Kaiky%C5%8D_Bridge ; https://en.wikipedia.org/wiki/Golden_Gate_Bridge;2024
Har Öresundsbron längre eller kortare huvudspann än Golden Gate-bron?;https://en.wikipedia.org/wiki/Golden_Gate_Bridge ; https://en.wikipedia.org/wiki/%C3%96resund_Bridge;2024
Har Öresundsbron längre eller kortare huvudspann än Akashi Kaikyo-bron?;https://en.wikipedia.org/wiki/Akashi_Kaiky%C5%8D_Bridge ; https://en.wikipedia.org/wiki/%C3%96resund_Bridge;2024
Är Gotthards bastunnel längre eller kortare än Öresundsbron?;https://en.wikipedia.org/wiki/Gotthard_Base_Tunnel ; https://en.wikipedia.org/wiki/%C3%96resund_Bridge;2024
Är Seikantunneln längre eller kortare än Kanaltunneln?;https://en.wikipedia.org/wiki/Seikan_Tunnel ; https://en.wikipedia.org/wiki/Channel_Tunnel;2024
Är Three Gorges-dammen högre eller lägre än Hooverdammen?;https://en.wikipedia.org/wiki/Three_Gorges_Dam ; https://en.wikipedia.org/wiki/Hoover_Dam;2024
Har Hooverdammen längre eller kortare krön än Three Gorges-dammen?;https://en.wikipedia.org/wiki/Hoover_Dam ; https://en.wikipedia.org/wiki/Three_Gorges_Dam;2024
Är Three Gorges-dammen längre eller kortare än Öresundsbron?;https://en.wikipedia.org/wiki/Three_Gorges_Dam ; https://en.wikipedia.org/wiki/%C3%96resund_Bridge;2024
Är Kinesiska muren längre eller kortare än Öresundsbron?;https://en.wikipedia.org/wiki/Great_Wall_of_China ; https://en.wikipedia.org/wiki/%C3%96resund_Bridge;2024
Är Stonehenge äldre eller yngre än Colosseum?;https://en.wikipedia.org/wiki/Stonehenge ; https://en.wikipedia.org/wiki/Colosseum;2026
Är Notre-Dame i Paris äldre eller yngre än Colosseum?;https://en.wikipedia.org/wiki/Colosseum ; https://en.wikipedia.org/wiki/Notre-Dame_de_Paris;2026
Är Eiffeltornet äldre eller yngre än Notre-Dame i Paris?;https://en.wikipedia.org/wiki/Notre-Dame_de_Paris ; https://en.wikipedia.org/wiki/Eiffel_Tower;2026
Är Cheopspyramiden äldre eller yngre än Colosseum?;https://en.wikipedia.org/wiki/Great_Pyramid_of_Giza ; https://en.wikipedia.org/wiki/Colosseum;2026
Har Sydneyoperan högre eller lägre tak än Kristusstatyn i Rio?;https://en.wikipedia.org/wiki/Sydney_Opera_House ; https://en.wikipedia.org/wiki/Christ_the_Redeemer_(statue);2024
Är Shanghai Tower högre eller lägre än Merdeka 118?;https://en.wikipedia.org/wiki/Shanghai_Tower ; https://en.wikipedia.org/wiki/Merdeka_118;2026
Är Lotte World Tower högre eller lägre än One World Trade Center?;https://en.wikipedia.org/wiki/Lotte_World_Tower ; https://en.wikipedia.org/wiki/One_World_Trade_Center;2026
Är Willis Tower högre eller lägre än Petronas Tower 1?;https://en.wikipedia.org/wiki/Willis_Tower ; https://en.wikipedia.org/wiki/Petronas_Towers;2026
Är Burj Al Arab högre eller lägre än Chryslerbyggnaden?;https://en.wikipedia.org/wiki/Burj_Al_Arab ; https://en.wikipedia.org/wiki/Chrysler_Building;2026
Har Lincoln Cathedral högre eller lägre spira än Ulms domkyrka?;https://en.wikipedia.org/wiki/Lincoln_Cathedral ; https://en.wikipedia.org/wiki/Ulm_Minster;2026
Har Golden Gate-bron längre eller kortare huvudspann än Verrazzano-Narrows-bron?;https://en.wikipedia.org/wiki/Golden_Gate_Bridge ; https://en.wikipedia.org/wiki/Verrazzano-Narrows_Bridge;2026
Har Maracanã större eller mindre publikkapacitet än San Siro?;https://en.wikipedia.org/wiki/Maracan%C3%A3_Stadium ; https://en.wikipedia.org/wiki/San_Siro;2026
Har Empire State Building fler eller färre våningar än Willis Tower?;https://en.wikipedia.org/wiki/Empire_State_Building ; https://en.wikipedia.org/wiki/Willis_Tower;2026
Är Tokyo Skytree högre eller lägre än Canton Tower?;https://en.wikipedia.org/wiki/Tokyo_Skytree ; https://en.wikipedia.org/wiki/Canton_Tower;2026
Är Singapore Flyer högre eller lägre än High Roller i Las Vegas?;https://en.wikipedia.org/wiki/Singapore_Flyer ; https://en.wikipedia.org/wiki/High_Roller_(Ferris_wheel);2026
Är Three Gorges-dammen högre eller lägre än Itaipú-dammen?;https://en.wikipedia.org/wiki/Three_Gorges_Dam ; https://en.wikipedia.org/wiki/Itaipu_Dam;2026
Är Sankt Stefansdomen i Wien högre eller lägre än Strasbourgs katedral?;https://en.wikipedia.org/wiki/St._Stephen%27s_Cathedral,_Vienna ; https://en.wikipedia.org/wiki/Strasbourg_Cathedral;2026
Har Humberbron längre eller kortare huvudspann än Verrazzano-Narrows-bron?;https://en.wikipedia.org/wiki/Humber_Bridge ; https://en.wikipedia.org/wiki/Verrazzano-Narrows_Bridge;2026
Har Storbältsbron längre eller kortare huvudspann än Akashi Kaikyo-bron?;https://en.wikipedia.org/wiki/Great_Belt_Fixed_Link ; https://en.wikipedia.org/wiki/Akashi_Kaiky%C5%8D_Bridge;2026
Är Chryslerbyggnaden högre eller lägre än Eiffeltornet?;https://en.wikipedia.org/wiki/Chrysler_Building ; https://en.wikipedia.org/wiki/Eiffel_Tower;2026
Är Hooverdammen högre eller lägre än Grande Dixence-dammen?;https://en.wikipedia.org/wiki/Hoover_Dam ; https://en.wikipedia.org/wiki/Grande_Dixence_Dam;2026
Är Big Ben högre eller lägre än Turning Torso?;https://en.wikipedia.org/wiki/Big_Ben ; https://en.wikipedia.org/wiki/Turning_Torso;2026
Sitter Petronas-tornens skybridge högre eller lägre än Eiffeltornet?;https://en.wikipedia.org/wiki/Petronas_Towers ; https://en.wikipedia.org/wiki/Eiffel_Tower;2026
Är Frihetsgudinnan högre eller lägre än Cheopspyramiden?;https://en.wikipedia.org/wiki/Statue_of_Liberty ; https://en.wikipedia.org/wiki/Great_Pyramid_of_Giza;2026
Är en fotbollsplan längre eller kortare än Cheopspyramidens bassida?;https://en.wikipedia.org/wiki/Football_pitch ; https://en.wikipedia.org/wiki/Great_Pyramid_of_Giza;2026
Är Solens pyramid i Teotihuacán högre eller lägre än Cheopspyramiden?;https://en.wikipedia.org/wiki/Pyramid_of_the_Sun ; https://en.wikipedia.org/wiki/Great_Pyramid_of_Giza;2026
Är Brandenburger Tor högre eller lägre än Triumfbågen i Paris?;https://en.wikipedia.org/wiki/Brandenburg_Gate ; https://en.wikipedia.org/wiki/Arc_de_Triomphe;2026
Är Big Ben högre eller lägre än London Eye?;https://en.wikipedia.org/wiki/Big_Ben ; https://en.wikipedia.org/wiki/London_Eye;2026
Är Eiffeltornet högre eller lägre än Turning Torso?;https://en.wikipedia.org/wiki/Eiffel_Tower ; https://en.wikipedia.org/wiki/Turning_Torso;2026
Är Itaipú-dammen högre eller lägre än Grande Dixence-dammen?;https://en.wikipedia.org/wiki/Itaipu_Dam ; https://en.wikipedia.org/wiki/Grande_Dixence_Dam;2026
Är Gotthards vägtunnel längre eller kortare än Lærdalstunneln?;https://en.wikipedia.org/wiki/Gotthard_Road_Tunnel ; https://en.wikipedia.org/wiki/L%C3%A6rdal_Tunnel;2026
Är Lærdalstunneln längre eller kortare än Kanaltunneln?;https://en.wikipedia.org/wiki/L%C3%A6rdal_Tunnel ; https://en.wikipedia.org/wiki/Channel_Tunnel;2026
Är Hagia Sofia äldre eller yngre än Colosseum?;https://en.wikipedia.org/wiki/Hagia_Sophia ; https://en.wikipedia.org/wiki/Colosseum;2026
Är Notre-Dame i Paris äldre eller yngre än Hagia Sofia?;https://en.wikipedia.org/wiki/Notre-Dame_de_Paris ; https://en.wikipedia.org/wiki/Hagia_Sophia;2026
Är Taj Mahal äldre eller yngre än Machu Picchu?;https://en.wikipedia.org/wiki/Taj_Mahal ; https://en.wikipedia.org/wiki/Machu_Picchu;2026
Är Angkor Wat äldre eller yngre än Notre-Dame i Paris?;https://en.wikipedia.org/wiki/Angkor_Wat ; https://en.wikipedia.org/wiki/Notre-Dame_de_Paris;2026
Är Sydneyoperan äldre eller yngre än Sydney Harbour Bridge?;https://en.wikipedia.org/wiki/Sydney_Opera_House ; https://en.wikipedia.org/wiki/Sydney_Harbour_Bridge;2026
Är Burj Khalifa äldre eller yngre än Taipei 101?;https://en.wikipedia.org/wiki/Burj_Khalifa ; https://en.wikipedia.org/wiki/Taipei_101;2026
Har Petersplatsen större eller mindre yta än Cheopspyramidens botten?;https://en.wikipedia.org/wiki/St._Peter%27s_Square ; https://en.wikipedia.org/wiki/Great_Pyramid_of_Giza;2026
Har Empire State Building större eller mindre golvyta än Pentagon?;https://en.wikipedia.org/wiki/Empire_State_Building ; https://en.wikipedia.org/wiki/The_Pentagon;2026
Har Vatikanstaten större eller mindre yta än Förbjudna staden?;https://en.wikipedia.org/wiki/Vatican_City ; https://en.wikipedia.org/wiki/Forbidden_City;2026
Har Maracanã större eller mindre publikkapacitet än Camp Nou?;https://en.wikipedia.org/wiki/Maracan%C3%A3_Stadium ; https://en.wikipedia.org/wiki/Camp_Nou;2026
Har Wembley större eller mindre publikkapacitet än Friends Arena?;https://en.wikipedia.org/wiki/Wembley_Stadium ; https://en.wikipedia.org/wiki/Friends_Arena;2026
Är Eiffeltornet högre eller lägre än Petronas Towers?;https://en.wikipedia.org/wiki/Eiffel_Tower ; https://en.wikipedia.org/wiki/Petronas_Towers;2026
Är Empire State Building högre eller lägre än One World Trade Center?;https://en.wikipedia.org/wiki/Empire_State_Building ; https://en.wikipedia.org/wiki/One_World_Trade_Center;2026
Är Eiffeltornet högre eller lägre än Oriental Pearl Tower?;https://en.wikipedia.org/wiki/Eiffel_Tower ; https://en.wikipedia.org/wiki/Oriental_Pearl_Tower;2026
Är Stratosphere Tower i Las Vegas högre eller lägre än Space Needle?;https://en.wikipedia.org/wiki/Strat_Hotel,_Casino_%26_Tower ; https://en.wikipedia.org/wiki/Space_Needle;2026
Är Moderlandet-statyn i Volgograd högre eller lägre än Sardar Patel-statyn?;https://en.wikipedia.org/wiki/The_Motherland_Calls ; https://en.wikipedia.org/wiki/Statue_of_Unity;2026
Är Globen högre eller lägre än Washingtonmonumentet?;https://en.wikipedia.org/wiki/Avicii_Arena ; https://en.wikipedia.org/wiki/Washington_Monument;2026
Är lutande tornet i Pisa högre eller lägre än Globen?;https://en.wikipedia.org/wiki/Leaning_Tower_of_Pisa ; https://en.wikipedia.org/wiki/Avicii_Arena;2026
Är Hagia Sofia äldre eller yngre än Pantheon i Rom?;https://en.wikipedia.org/wiki/Hagia_Sophia ; https://en.wikipedia.org/wiki/Pantheon,_Rome;2026
Är Burj Khalifa högre eller lägre än Tokyo Skytree?;https://en.wikipedia.org/wiki/Burj_Khalifa ; https://en.wikipedia.org/wiki/Tokyo_Skytree;2026
Är Empire State Building högre eller lägre än Space Needle?;https://en.wikipedia.org/wiki/Empire_State_Building ; https://en.wikipedia.org/wiki/Space_Needle;2026
Är Oriental Pearl Tower högre eller lägre än Tokyo Skytree?;https://en.wikipedia.org/wiki/Oriental_Pearl_Tower ; https://en.wikipedia.org/wiki/Tokyo_Skytree;2026
Är Sagrada Família högre eller lägre än Big Ben?;https://en.wikipedia.org/wiki/Sagrada_Fam%C3%ADlia ; https://en.wikipedia.org/wiki/Big_Ben;2026
Har Maracanã större eller mindre publikkapacitet än Friends Arena?;https://en.wikipedia.org/wiki/Maracan%C3%A3_Stadium ; https://en.wikipedia.org/wiki/Friends_Arena;2026
Har Michigan Stadium större eller mindre publikkapacitet än Friends Arena?;https://en.wikipedia.org/wiki/Michigan_Stadium ; https://en.wikipedia.org/wiki/Friends_Arena;2026
Är Kölnerdomen högre eller lägre än Frihetsgudinnan?;https://en.wikipedia.org/wiki/Cologne_Cathedral ; https://en.wikipedia.org/wiki/Statue_of_Liberty;2026
Är Washingtonmonumentet högre eller lägre än Eiffeltornet?;https://en.wikipedia.org/wiki/Washington_Monument ; https://en.wikipedia.org/wiki/Eiffel_Tower;2026
Är Eiffeltornet högre eller lägre än CN Tower?;https://en.wikipedia.org/wiki/Eiffel_Tower ; https://en.wikipedia.org/wiki/CN_Tower;2026
Har Buckingham Palace fler eller färre rum än Versailles slott?;https://en.wikipedia.org/wiki/Buckingham_Palace ; https://en.wikipedia.org/wiki/Palace_of_Versailles;2026
Har Buckingham Palace fler eller färre rum än Vita huset?;https://en.wikipedia.org/wiki/Buckingham_Palace ; https://en.wikipedia.org/wiki/White_House;2026
Är Atomium högre eller lägre än Kristusstatyn i Rio?;https://en.wikipedia.org/wiki/Atomium ; https://en.wikipedia.org/wiki/Christ_the_Redeemer_(statue);2026
Är lutande tornet i Pisa högre eller lägre än Washingtonmonumentet?;https://en.wikipedia.org/wiki/Leaning_Tower_of_Pisa ; https://en.wikipedia.org/wiki/Washington_Monument;2026
Väger Eiffeltornet mer eller mindre än Atomium?;https://en.wikipedia.org/wiki/Eiffel_Tower ; https://en.wikipedia.org/wiki/Atomium;2026
Är Empire State Building högre eller lägre än Big Ben?;https://en.wikipedia.org/wiki/Empire_State_Building ; https://en.wikipedia.org/wiki/Big_Ben;2026
Har Brooklynbron längre eller kortare huvudspann än Golden Gate-bron?;https://en.wikipedia.org/wiki/Brooklyn_Bridge ; https://en.wikipedia.org/wiki/Golden_Gate_Bridge;2026
Är Stratosphere Tower i Las Vegas högre eller lägre än lutande tornet i Pisa?;https://en.wikipedia.org/wiki/Strat_Hotel,_Casino_%26_Tower ; https://en.wikipedia.org/wiki/Leaning_Tower_of_Pisa;2026
Är Space Needle högre eller lägre än One World Trade Center?;https://en.wikipedia.org/wiki/Space_Needle ; https://en.wikipedia.org/wiki/One_World_Trade_Center;2026
Är Taipei 101 högre eller lägre än Space Needle?;https://en.wikipedia.org/wiki/Taipei_101 ; https://en.wikipedia.org/wiki/Space_Needle;2026
Är Tokyo Skytree högre eller lägre än Kaknästornet?;https://en.wikipedia.org/wiki/Tokyo_Skytree ; https://en.wikipedia.org/wiki/Kakn%C3%A4stornet;2026
Är Canton Tower högre eller lägre än Kaknästornet?;https://en.wikipedia.org/wiki/Canton_Tower ; https://en.wikipedia.org/wiki/Kakn%C3%A4stornet;2026
Är CN Tower högre eller lägre än Space Needle?;https://en.wikipedia.org/wiki/CN_Tower ; https://en.wikipedia.org/wiki/Space_Needle;2026
Är Stratosphere Tower i Las Vegas högre eller lägre än Big Ben?;https://en.wikipedia.org/wiki/Strat_Hotel,_Casino_%26_Tower ; https://en.wikipedia.org/wiki/Big_Ben;2026
Är Millauviadukten högre eller lägre än Big Ben?;https://en.wikipedia.org/wiki/Millau_Viaduct ; https://en.wikipedia.org/wiki/Big_Ben;2026
Har Akashi Kaikyo-bron högre eller lägre pyloner än Big Ben?;https://en.wikipedia.org/wiki/Akashi_Kaiky%C5%8D_Bridge ; https://en.wikipedia.org/wiki/Big_Ben;2026
Har Storbältsbron längre eller kortare huvudspann än Brooklynbron?;https://en.wikipedia.org/wiki/Great_Belt_Fixed_Link ; https://en.wikipedia.org/wiki/Brooklyn_Bridge;2026
Har Verrazzano-Narrows-bron längre eller kortare huvudspann än Brooklynbron?;https://en.wikipedia.org/wiki/Verrazzano-Narrows_Bridge ; https://en.wikipedia.org/wiki/Brooklyn_Bridge;2026
Har Akashi Kaikyo-bron längre eller kortare huvudspann än Brooklynbron?;https://en.wikipedia.org/wiki/Akashi_Kaiky%C5%8D_Bridge ; https://en.wikipedia.org/wiki/Brooklyn_Bridge;2026
Är Gotthards bastunnel längre eller kortare än Gotthards vägtunnel?;https://en.wikipedia.org/wiki/Gotthard_Base_Tunnel ; https://en.wikipedia.org/wiki/Gotthard_Road_Tunnel;2026
Är Kanaltunneln längre eller kortare än Gotthards vägtunnel?;https://en.wikipedia.org/wiki/Channel_Tunnel ; https://en.wikipedia.org/wiki/Gotthard_Road_Tunnel;2026
Är Stonehenge äldre eller yngre än Hagia Sofia?;https://en.wikipedia.org/wiki/Stonehenge ; https://en.wikipedia.org/wiki/Hagia_Sophia;2026
Är Cheopspyramiden äldre eller yngre än Hagia Sofia?;https://en.wikipedia.org/wiki/Great_Pyramid_of_Giza ; https://en.wikipedia.org/wiki/Hagia_Sophia;2026
Är Petra äldre eller yngre än Notre-Dame i Paris?;https://en.wikipedia.org/wiki/Petra ; https://en.wikipedia.org/wiki/Notre-Dame_de_Paris;2026
Är Eiffeltornet äldre eller yngre än Angkor Wat?;https://en.wikipedia.org/wiki/Eiffel_Tower ; https://en.wikipedia.org/wiki/Angkor_Wat;2026
Är Taj Mahal äldre eller yngre än Eiffeltornet?;https://en.wikipedia.org/wiki/Taj_Mahal ; https://en.wikipedia.org/wiki/Eiffel_Tower;2026
Är Machu Picchu äldre eller yngre än Eiffeltornet?;https://en.wikipedia.org/wiki/Machu_Picchu ; https://en.wikipedia.org/wiki/Eiffel_Tower;2026
Är CN Tower högre eller lägre än Kaknästornet?;https://en.wikipedia.org/wiki/CN_Tower ; https://en.wikipedia.org/wiki/Kakn%C3%A4stornet;2026
Är Oriental Pearl Tower högre eller lägre än Kaknästornet?;https://en.wikipedia.org/wiki/Oriental_Pearl_Tower ; https://en.wikipedia.org/wiki/Kakn%C3%A4stornet;2026
Är Big Ben högre eller lägre än Burj Khalifa?;https://en.wikipedia.org/wiki/Big_Ben ; https://en.wikipedia.org/wiki/Burj_Khalifa;2026
