fråga;källa;år
Banana Republic vs Whole Foods;Banana Republic grundat 1978 (en.wikipedia.org/wiki/Banana_Republic), ålder 48; Whole Foods Market grundat 1980 (en.wikipedia.org/wiki/Whole_Foods_Market), ålder 46;2026
Olay vs Pantene;Olay (Oil of Olay) lanserat 1952 (en.wikipedia.org/wiki/Olay), ålder 74; Pantene lanserat 1945 (en.wikipedia.org/wiki/Pantene), ålder 81;2026
Crest vs Head & Shoulders;Crest tandkräm 1955 (en.wikipedia.org/wiki/Crest_(toothpaste)), ålder 71; Head & Shoulders 1961 (en.wikipedia.org/wiki/Head_%26_Shoulders), ålder 65;2026
Acer vs Asus;Acer (Multitech) grundat 1976 (en.wikipedia.org/wiki/Acer_Inc.), ålder 50; Asus grundat 1989 (en.wikipedia.org/wiki/Asus), ålder 37;2026
Decathlon vs Sonic;Decathlon grundat 1976 (en.wikipedia.org/wiki/Decathlon_(retailer)), ålder 50; Sonic Drive-In grundat 1953 (en.wikipedia.org/wiki/Sonic_Drive-In), ålder 73;2026
Coach vs Michael Kors;Coach grundat 1941 (en.wikipedia.org/wiki/Coach_New_York), ålder 85; Michael Kors grundat 1981 (en.wikipedia.org/wiki/Michael_Kors), ålder 45;2026
Moncler vs Quiksilver;Moncler grundat 1952 (en.wikipedia.org/wiki/Moncler), ålder 74; Quiksilver grundat 1969 (en.wikipedia.org/wiki/Quiksilver), ålder 57;2026
Nutella vs Epson;Nutella lanserat 1964 (en.wikipedia.org/wiki/Nutella), ålder 62; Epson (Daiwa Kogyo) grundat 1942 (en.wikipedia.org/wiki/Epson), ålder 84;2026
Always vs Old Spice;Always lanserat 1983 (en.wikipedia.org/wiki/Always_(brand)), ålder 43; Old Spice lanserat 1937 (en.wikipedia.org/wiki/Old_Spice), ålder 89;2026
Ghirardelli vs Godiva;Ghirardelli grundat 1852 (en.wikipedia.org/wiki/Ghirardelli_Chocolate_Company), ålder 174; Godiva Chocolatier grundat 1926 (en.wikipedia.org/wiki/Godiva_Chocolatier), ålder 100;2026
easyJet vs Emirates;easyJet grundat 1995 (en.wikipedia.org/wiki/EasyJet), ålder 31; Emirates grundat 1985 (en.wikipedia.org/wiki/Emirates_(airline)), ålder 41;2026
Whataburger vs Papa John's;Whataburger grundat 1950 (en.wikipedia.org/wiki/Whataburger), ålder 76; Papa John's grundat 1984 (en.wikipedia.org/wiki/Papa_John%27s), ålder 42;2026
Ducati vs Dunlop;Ducati grundat 1926 (en.wikipedia.org/wiki/Ducati_(company)), ålder 100; Dunlop grundat 1889 (en.wikipedia.org/wiki/Dunlop_Rubber), ålder 137;2026
Pez vs e.l.f.;Pez uppfunnet 1927 (en.wikipedia.org/wiki/Pez), ålder 99; e.l.f. Cosmetics grundat 2004 (en.wikipedia.org/wiki/E.l.f.), ålder 22;2026
Epic Games vs Ritz;Epic Games (Potomac Computer Systems) grundat 1991 (en.wikipedia.org/wiki/Epic_Games), ålder 35; Ritz Crackers lanserat 1934 (en.wikipedia.org/wiki/Ritz_Crackers), ålder 92;2026
Milky Way vs Bethesda;Milky Way lanserat 1923 (en.wikipedia.org/wiki/Milky_Way_(chocolate_bar)), ålder 103; Bethesda Softworks grundat 1986 (en.wikipedia.org/wiki/Bethesda_Softworks), ålder 40;2026
UGG vs Maytag;UGG grundat 1978 (en.wikipedia.org/wiki/UGG_(brand)), ålder 48; Maytag grundat 1893 (en.wikipedia.org/wiki/Maytag), ålder 133;2026
KitchenAid vs Keurig;KitchenAid lanserat 1919 (en.wikipedia.org/wiki/KitchenAid), ålder 107; Keurig grundat 1992 (en.wikipedia.org/wiki/Keurig), ålder 34;2026
Bershka vs Nabisco;Bershka grundat 1998 (en.wikipedia.org/wiki/Bershka), ålder 28; Nabisco (National Biscuit Company) grundat 1898 (en.wikipedia.org/wiki/Nabisco), ålder 128;2026
Hoover vs Magnum;Hoover grundat 1908 (en.wikipedia.org/wiki/The_Hoover_Company), ålder 118; Magnum (glass) lanserat 1989 (en.wikipedia.org/wiki/Magnum_(ice_cream)), ålder 37;2026
Cinnabon vs Canada Dry;Cinnabon grundat 1985 (en.wikipedia.org/wiki/Cinnabon), ålder 41; Canada Dry grundat 1904 (en.wikipedia.org/wiki/Canada_Dry), ålder 122;2026
Axe vs Garnier;Axe/Lynx lanserat 1983 (en.wikipedia.org/wiki/Axe_(brand)), ålder 43; Garnier grundat 1904 (en.wikipedia.org/wiki/Garnier), ålder 122;2026
Genesis vs Bentley;Genesis Motor lanserat 2015 (en.wikipedia.org/wiki/Genesis_Motor), ålder 11; Bentley grundat 1919 (en.wikipedia.org/wiki/Bentley), ålder 107;2026
Tanqueray vs Grey Goose;Tanqueray grundat 1830 (en.wikipedia.org/wiki/Tanqueray), ålder 196; Grey Goose grundat 1997 (en.wikipedia.org/wiki/Grey_Goose_(vodka)), ålder 29;2026
Hennessy vs Hendrick's;Hennessy grundat 1765 (en.wikipedia.org/wiki/Hennessy), ålder 261; Hendrick's Gin lanserat 1999 (en.wikipedia.org/wiki/Hendrick%27s_Gin), ålder 27;2026
Boots vs Hollister;Boots grundat 1849 (en.wikipedia.org/wiki/Boots_(company)), ålder 177; Hollister Co. lanserat 2000 (en.wikipedia.org/wiki/Hollister_Co.), ålder 26;2026
Squarespace vs Stanley;Squarespace grundat 2003 (en.wikipedia.org/wiki/Squarespace), ålder 23; Stanley (Stanley Works) grundat 1843 (en.wikipedia.org/wiki/Stanley_Hand_Tools), ålder 183;2026
