fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Regerade Oscar II fler eller färre år än Gustav III?;Oscar II;Gustav III;35;21;år;Hur många år skiljer det i regeringstid?
Varade trettioåriga kriget fler eller färre år än stora nordiska kriget?;Trettioåriga kriget;Stora nordiska kriget;30;21;år;Hur många år skiljer det?
Är Visby ringmur längre än den är hög?;Visby ringmurs längd;Visby ringmurs höjd;3400;11;meter;Hur många meter skiljer det?
Hade Sverige fler eller färre invånare år 1900 än år 1800?;Sverige år 1900;Sverige år 1800;5,1;2,3;miljoner invånare;Hur många miljoner invånare skiljer det?
Regerade Gustaf V fler eller färre år än Karl XV?;Gustaf V;Karl XV;43;13;år;Hur många år skiljer det i regeringstid?
Regerade Karl XIV Johan fler eller färre år än Oscar I?;Karl XIV Johan;Oscar I;26;15;år;Hur många år skiljer det i regeringstid?
Hade Göteborg fler eller färre invånare än Visby år 2020?;Göteborg;Visby;580000;24000;invånare;Hur många invånare skiljer det?
Hade regalskeppet Mars en större eller mindre besättning än Vasaskeppet?;Regalskeppet Mars;Vasaskeppet;800;437;man;Hur många man skiljer det i besättning?
Är Vänern större eller mindre än Mälaren till ytan?;Vänern;Mälaren;5650;1140;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är Lunds domkyrka högre eller lägre än borgen Glimmingehus?;Lunds domkyrka;Glimmingehus;55;26;meter;Hur många meter skiljer det i höjd?
Var drottning Kristina äldre eller yngre när hon abdikerade än när hon blev drottning?;Kristina vid abdikationen;Kristina vid trontillträdet;27;5;år;Hur många år skiljer det i ålder?
Grundades Karlskrona före eller efter Karlstad?;Karlskrona grundas;Karlstad grundas;1680;1584;årtal;Hur många år skiljer det?
Regerade Gustav III fler eller färre år än Gustaf V?;Gustav III;Gustaf V;21;43;år;Hur många år skiljer det i regeringstid?
Stod slaget vid Breitenfeld före eller efter slaget vid Poltava?;Slaget vid Breitenfeld;Slaget vid Poltava;1631;1709;årtal;Hur många år skiljer det?
Är Linköpings domkyrka högre eller lägre än Uppsala domkyrka?;Linköpings domkyrka;Uppsala domkyrka;107;118;meter;Hur många meter skiljer det i höjd?
Regerade Oscar I fler eller färre år än Oscar II?;Oscar I;Oscar II;15;35;år;Hur många år skiljer det i regeringstid?
Regerade Karl XV fler eller färre år än Karl XIV Johan?;Karl XV;Karl XIV Johan;13;26;år;Hur många år skiljer det i regeringstid?
Regerade drottning Kristina fler eller färre år än Karl XI?;Drottning Kristina;Karl XI;22;37;år;Hur många år skiljer det i regeringstid?
Grundades Sigtuna före eller efter Karlskrona?;Sigtuna grundas;Karlskrona grundas;980;1680;årtal;Hur många år skiljer det?
Var skeppet Kalmar Nyckel kortare eller längre än Vasaskeppet?;Kalmar Nyckel;Vasaskeppet;28;69;meter;Hur många meter skiljer det i längd?
Hade Sverige fler eller färre invånare år 1571 än år 1900?;Sverige år 1571;Sverige år 1900;0,9;5,1;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Drottningholms slott fler eller färre rum än Stockholms slott?;Drottningholms slott;Stockholms slott;200;1430;rum;Hur många rum skiljer det?
Varade Kalmarkriget fler eller färre år än trettioåriga kriget?;Kalmarkriget;Trettioåriga kriget;2;30;år;Hur många år skiljer det?
Stod slaget vid Brunkeberg före eller efter slaget vid Lützen?;Slaget vid Brunkeberg;Slaget vid Lützen;1471;1632;årtal;Hur många år skiljer det?
